Pop.Type,loc,bed,row,col,pop,mf,rep,Genotype,block,height.cm,long.leaf.cm,herbiv.y.n,survey.notes
2023-survivor,G_5_B,G,5,B,IH,4,12,IH_4_12,J,NA,NA,NA,Dead
2023-survivor,G_8_A,G,8,A,YO7,6,15,YO7_6_15,J,8,1,N,NA
2023-survivor,G_31_A,G,31,A,BH,7,13,BH_7_13,K,11.5,2.7,Y,NA
2023-survivor,G_37_A,G,37,A,YO7,7,9,YO7_7_9,K,3.9,1.1,N,NA
2023-survivor,G_43_A,G,43,A,IH,6,13,IH_6_13,K,9.2,2.1,Y,NA
2023-survivor,G_5_D,G,5,D,YO7,5,7,YO7_5_7,J,4.6,1.8,Y,NA
2023-survivor,G_6_D,G,6,D,IH,2,12,IH_2_12,J,12.9,2.7,Y,NA
2023-survivor,G_7_D,G,7,D,BH,4,12,BH_4_12,J,25,5.1,Y,NA
2023-survivor,G_12_D,G,12,D,CC,5,12,CC_5_12,J,NA,NA,NA,Dead
2023-survivor,G_27_C,G,27,C,YO7,6,9,YO7_6_9,K,10.1,2.2,Y,NA
2023-survivor,G_32_D,G,32,D,WL2,7,6,WL2_7_6,K,7,1.5,N,NA
2023-survivor,G_40_C,G,40,C,BH,2,13,BH_2_13,K,19.4,3.5,Y,NA
2023-survivor,G_42_C,G,42,C,SC,2,27,SC_2_27,K,1,NA,NA,Top missing just stem
2023-survivor,H_5_A,H,5,A,SC,4,1,SC_4_1,L,7.1,1.4,Y,Top dead
2023-survivor,H_6_B,H,6,B,SC,2,26,SC_2_26,L,NA,NA,NA,O
2023-survivor,H_11_B,H,11,B,IH,2,1,IH_2_1,L,13.5,4,Y,NA
2023-survivor,H_12_B,H,12,B,SC,2,1,SC_2_1,L,NA,NA,NA,Included twice *
2023-survivor,H_13_A,H,13,A,TM2,2,6,TM2_2_6,L,NA,NA,NA,Dead
2023-survivor,H_25_B,H,25,B,SC,4,14,SC_4_14,K,NA,NA,NA,Dead
2023-survivor,H_31_A,H,31,A,YO7,4,11,YO7_4_11,K,16.6,1.4,N,NA
2023-survivor,H_34_A,H,34,A,WL2,2,7,WL2_2_7,K,3.5,0.3,Y,plant present
2023-survivor,H_3_C,H,3,C,YO7,7,15,YO7_7_15,L,10.3,1.6,N,2023 survivor present
2023-survivor,H_11_C,H,11,C,IH,4,1,IH_4_1,L,NA,NA,NA,Dead
2023-survivor,H_12_C,H,12,C,YO7,4,1,YO7_4_1,L,8.9,0.7,N,NA
