block,Genotype,pop,mf,rep,elevation.group,elev_m,Lat,Long,GrwSsn_GD_Recent,GrwSsn_GD_Historical,Wtr_Year_GD_Recent,Wtr_Year_GD_Historical,Geographic_Dist,Elev_Dist,pheno,Survival
E,CP2_5_14,CP2,5,14,High,2244.132886,38.66169,-120.13065,0.31372573043884605,0.27186043205580307,0.3865863099171068,0.4367699034245114,21059.954625970597,224.13288599999987,NA,0
E,FR_7_7,FR,7,7,Mid,787,40.01362,-121.18498,0.42020367443861306,0.39528242367203975,0.5593677338467359,0.5537173051587237,154693.88589950668,-1233,NA,0
E,CC_8_7,CC,8,7,Low,313,39.58597,-121.43311,0.39954363432357376,0.3628520203062128,0.6056543656685672,0.5694875331935266,132498.41828627142,-1707,V,1
E,TM2_4_12,TM2,4,12,Low,379.1526973,39.59255,-121.55072,0.4104326313610405,0.40374579003782873,0.5715198745682244,0.5402588401134405,140893.43148019144,-1640.8473027,V,1
E,DPR_8_3,DPR,8,3,Mid,1018.591893,39.22846,-120.81518,0.44604377014039326,0.43268079774606566,0.46754256056110965,0.4574497547442878,66245.65466431515,-1001.408107,V,1
E,WL1_4_3,WL1,4,3,Mid,1613.837245,38.78608,-120.2143,0.28714113574565586,0.2698928368884988,0.43874550888363106,0.45499905555109305,5460.644397173772,-406.16275500000006,NA,0
E,BH_4_7,BH,4,7,Low,511.4294422,37.40985,-119.96458,0.2635424813135409,0.2609243489216868,0.7141615872159702,0.6473010342966006,159625.59620443787,-1508.5705578,V,1
E,YO7_7_3,YO7,7,3,High,2469.978665,37.80903,-119.56605,0.3658794463964312,0.2923198098407516,0.39223020638191,0.4235359067181392,128036.86977041698,449.9786650000001,NA,0
E,TM2_7_12,TM2,7,12,Low,379.1526973,39.59255,-121.55072,0.4104326313610405,0.40374579003782873,0.5715198745682244,0.5402588401134405,140893.43148019144,-1640.8473027,P,1
E,TM2_2_5,TM2,2,5,Low,379.1526973,39.59255,-121.55072,0.4104326313610405,0.40374579003782873,0.5715198745682244,0.5402588401134405,140893.43148019144,-1640.8473027,P,1
E,CC_3_7,CC,3,7,Low,313,39.58597,-121.43311,0.39954363432357376,0.3628520203062128,0.6056543656685672,0.5694875331935266,132498.41828627142,-1707,V,1
E,SC_4_7,SC,4,7,Low,421.5178299,38.41167,-120.73583000000001,0.2875182857097167,0.2948552776410517,0.6405277716592315,0.6335281479577306,62498.874631501516,-1598.4821701,V,1
E,SC_8_7,SC,8,7,Low,421.5178299,38.41167,-120.73583000000001,0.2875182857097167,0.2948552776410517,0.6405277716592315,0.6335281479577306,62498.874631501516,-1598.4821701,V,1
E,LVTR1_6_5,LVTR1,6,5,High,2741.38982,40.47917,-121.5032,0.3802446836917,0.523015897343951,0.3850068928061699,0.4653493047135006,213037.59230444234,721.3898199999999,X,0
E,CC_2_7,CC,2,7,Low,313,39.58597,-121.43311,0.39954363432357376,0.3628520203062128,0.6056543656685672,0.5694875331935266,132498.41828627142,-1707,V,1
E,YO7_1_3,YO7,1,3,High,2469.978665,37.80903,-119.56605,0.3658794463964312,0.2923198098407516,0.39223020638191,0.4235359067181392,128036.86977041698,449.9786650000001,NA,0
E,CP3_6_13,CP3,6,13,High,2266.382201,38.70649,-120.08797,0.3140208563118357,0.23861805788165968,0.364092257481025,0.4232769175718225,19415.21628208722,246.3822009999999,NA,0
E,YO8_8_7,YO8,8,7,High,2590.97836,37.81117,-119.48624,0.4088623847579968,0.3419030914985199,0.41075566453605455,0.4547568497474344,131231.96957091635,570.9783600000001,NA,0
E,DPR_6_18,DPR,6,18,Mid,1018.591893,39.22846,-120.81518,0.44604377014039326,0.43268079774606566,0.46754256056110965,0.4574497547442878,66245.65466431515,-1001.408107,V,1
E,YO11_8_16,YO11,8,16,High,2872.295032,37.93844,-119.23157,0.35954672553077305,0.4147933593020768,0.460541626299666,0.555764433138979,132940.11264834137,852.295032,X,0
E,LVTR1_8_8,LVTR1,8,8,High,2741.38982,40.47917,-121.5032,0.3802446836917,0.523015897343951,0.3850068928061699,0.4653493047135006,213037.59230444234,721.3898199999999,V,1
E,SC_6_7,SC,6,7,Low,421.5178299,38.41167,-120.73583000000001,0.2875182857097167,0.2948552776410517,0.6405277716592315,0.6335281479577306,62498.874631501516,-1598.4821701,V,1
E,WL1_7_9,WL1,7,9,Mid,1613.837245,38.78608,-120.2143,0.28714113574565586,0.2698928368884988,0.43874550888363106,0.45499905555109305,5460.644397173772,-406.16275500000006,NA,0
E,WL1_10_5,WL1,10,5,Mid,1613.837245,38.78608,-120.2143,0.28714113574565586,0.2698928368884988,0.43874550888363106,0.45499905555109305,5460.644397173772,-406.16275500000006,NA,0
E,WR_2_19,WR,2,19,Mid,1158,39.34346,-120.80659,0.3856348150917765,0.3999355834993617,0.4181980378714992,0.40746707427357715,74991.7057889629,-862,NA,0
E,CP2_3_5,CP2,3,5,High,2244.132886,38.66169,-120.13065,0.31372573043884605,0.27186043205580307,0.3865863099171068,0.4367699034245114,21059.954625970597,224.13288599999987,NA,0
E,YO8_5_7,YO8,5,7,High,2590.97836,37.81117,-119.48624,0.4088623847579968,0.3419030914985199,0.41075566453605455,0.4547568497474344,131231.96957091635,570.9783600000001,NA,0
E,WL2_7_13,WL2,7,13,High,2020.115818,38.8263,-120.25242,0.24160936486271645,0.2512423416542824,0.3959884299493191,0.4251656806811333,136.2621716836303,0.1158179999999902,V,1
E,TM2_1_6,TM2,1,6,Low,379.1526973,39.59255,-121.55072,0.4104326313610405,0.40374579003782873,0.5715198745682244,0.5402588401134405,140893.43148019144,-1640.8473027,NA,0
E,SQ3_4_10,SQ3,4,10,High,2373.170732,36.72109,-118.84933,0.2651042203227871,0.26544914521819013,0.3980989811471947,0.4149814395813324,264779.79412553,353.17073200000004,NA,0
E,FR_4_6,FR,4,6,Mid,787,40.01362,-121.18498,0.42020367443861306,0.39528242367203975,0.5593677338467359,0.5537173051587237,154693.88589950668,-1233,NA,0
E,SQ1_4_7,SQ1,4,7,Mid,1921.036585,36.56435,-118.7764,0.27140493582975944,0.23946004706235813,0.45484279394578625,0.4493608142602979,283280.5411867855,-98.96341499999994,X,0
E,SQ1_4_2,SQ1,4,2,Mid,1921.036585,36.56435,-118.7764,0.27140493582975944,0.23946004706235813,0.45484279394578625,0.4493608142602979,283280.5411867855,-98.96341499999994,V,1
E,YO11_7_13,YO11,7,13,High,2872.295032,37.93844,-119.23157,0.35954672553077305,0.4147933593020768,0.460541626299666,0.555764433138979,132940.11264834137,852.295032,NA,0
F,IH_4_8,IH,4,8,Low,454.1298385,39.09332,-120.92114,0.4276173115614113,0.4171162792166099,0.5512696044386646,0.5297011909121362,65203.39531640123,-1565.8701615,NA,0
F,TM2_7_13,TM2,7,13,Low,379.1526973,39.59255,-121.55072,0.4104326313610405,0.40374579003782873,0.5715198745682244,0.5402588401134405,140893.43148019144,-1640.8473027,P,1
