Genotype,pop.mf,parent.pop,mf,rep,pheno,Site,Survival,elevation.group,elev_m,Recent_Gowers_Dist_UCD,Historic_Gowers_Dist_UCD,Recent_Gowers_Dist_WL2,Historic_Gowers_Dist_WL2
WL2_6_5,WL2_6,WL2,6,5,NA,WL2,0,High,2020.115818,0.3726252713771436,0.3706289953265401,0.6242089965735804,0.5759345950886633
WL2_6_6,WL2_6,WL2,6,6,NA,WL2,0,High,2020.115818,0.3726252713771436,0.3706289953265401,0.6242089965735804,0.5759345950886633
WL2_6_7,WL2_6,WL2,6,7,NA,WL2,0,High,2020.115818,0.3726252713771436,0.3706289953265401,0.6242089965735804,0.5759345950886633
WL2_6_8,WL2_6,WL2,6,8,NA,WL2,0,High,2020.115818,0.3726252713771436,0.3706289953265401,0.6242089965735804,0.5759345950886633
WL2_6_9,WL2_6,WL2,6,9,NA,WL2,0,High,2020.115818,0.3726252713771436,0.3706289953265401,0.6242089965735804,0.5759345950886633
WL2_7_1,WL2_7,WL2,7,1,NA,WL2,0,High,2020.115818,0.3726252713771436,0.3706289953265401,0.6242089965735804,0.5759345950886633
WL2_7_10,WL2_7,WL2,7,10,V,WL2,1,High,2020.115818,0.3726252713771436,0.3706289953265401,0.6242089965735804,0.5759345950886633
WL2_7_11,WL2_7,WL2,7,11,V,WL2,1,High,2020.115818,0.3726252713771436,0.3706289953265401,0.6242089965735804,0.5759345950886633
WL2_7_12,WL2_7,WL2,7,12,NA,WL2,0,High,2020.115818,0.3726252713771436,0.3706289953265401,0.6242089965735804,0.5759345950886633
WL2_7_13,WL2_7,WL2,7,13,V,WL2,1,High,2020.115818,0.3726252713771436,0.3706289953265401,0.6242089965735804,0.5759345950886633
WL2_7_2,WL2_7,WL2,7,2,V,WL2,1,High,2020.115818,0.3726252713771436,0.3706289953265401,0.6242089965735804,0.5759345950886633
WL2_7_3,WL2_7,WL2,7,3,X,UCD,0,High,2020.115818,0.3726252713771436,0.3706289953265401,0.6242089965735804,0.5759345950886633
WL2_7_3,WL2_7,WL2,7,3,NA,WL2,0,High,2020.115818,0.3726252713771436,0.3706289953265401,0.6242089965735804,0.5759345950886633
WL2_7_4,WL2_7,WL2,7,4,V,WL2,1,High,2020.115818,0.3726252713771436,0.3706289953265401,0.6242089965735804,0.5759345950886633
