BedLoc,block,Genotype,pop.mf,parent.pop,mf,rep,height.cm,long.leaf.cm,Site,Garden_Lat,Garden_Long,Garden_Elev,elevation.group,elev_m,Lat,Long,GrwSsn_GD_Recent,GrwSsn_GD_Historical,Wtr_Year_GD_Recent,Wtr_Year_GD_Historical,Geographic_Dist,Elev_Dist
C_13_B,D,SC_8_6,SC_8,SC,8,6,4.8,2.6,WL2,38.82599,-120.2509,2020,Low,421.5178299,38.41167,-120.73583000000001,0.2875182857097167,0.2948552776410517,0.6405277716592315,0.6335281479577306,62498.874631501516,-1598.4821701
C_34_D,E,SC_8_7,SC_8,SC,8,7,6.1,2.7,WL2,38.82599,-120.2509,2020,Low,421.5178299,38.41167,-120.73583000000001,0.2875182857097167,0.2948552776410517,0.6405277716592315,0.6335281479577306,62498.874631501516,-1598.4821701
D_39_B,F,SC_8_8,SC_8,SC,8,8,NA,NA,WL2,38.82599,-120.2509,2020,Low,421.5178299,38.41167,-120.73583000000001,0.2875182857097167,0.2948552776410517,0.6405277716592315,0.6335281479577306,62498.874631501516,-1598.4821701
D_17_D,G,SC_8_9,SC_8,SC,8,9,2,2.8,WL2,38.82599,-120.2509,2020,Low,421.5178299,38.41167,-120.73583000000001,0.2875182857097167,0.2948552776410517,0.6405277716592315,0.6335281479577306,62498.874631501516,-1598.4821701
D_28_C,G,SC_8_15,SC_8,SC,8,15,4.4,3.5,WL2,38.82599,-120.2509,2020,Low,421.5178299,38.41167,-120.73583000000001,0.2875182857097167,0.2948552776410517,0.6405277716592315,0.6335281479577306,62498.874631501516,-1598.4821701
E_6_C,H,SC_8_10,SC_8,SC,8,10,5.4,4.4,WL2,38.82599,-120.2509,2020,Low,421.5178299,38.41167,-120.73583000000001,0.2875182857097167,0.2948552776410517,0.6405277716592315,0.6335281479577306,62498.874631501516,-1598.4821701
F_13_D,I,SC_8_11,SC_8,SC,8,11,NA,NA,WL2,38.82599,-120.2509,2020,Low,421.5178299,38.41167,-120.73583000000001,0.2875182857097167,0.2948552776410517,0.6405277716592315,0.6335281479577306,62498.874631501516,-1598.4821701
G_10_A,J,SC_8_12,SC_8,SC,8,12,5.6,3.5,WL2,38.82599,-120.2509,2020,Low,421.5178299,38.41167,-120.73583000000001,0.2875182857097167,0.2948552776410517,0.6405277716592315,0.6335281479577306,62498.874631501516,-1598.4821701
H_16_D,L,SC_8_1,SC_8,SC,8,1,3.2,3.3,WL2,38.82599,-120.2509,2020,Low,421.5178299,38.41167,-120.73583000000001,0.2875182857097167,0.2948552776410517,0.6405277716592315,0.6335281479577306,62498.874631501516,-1598.4821701
H_29_D,K,SC_8_13,SC_8,SC,8,13,NA,NA,WL2,38.82599,-120.2509,2020,Low,421.5178299,38.41167,-120.73583000000001,0.2875182857097167,0.2948552776410517,0.6405277716592315,0.6335281479577306,62498.874631501516,-1598.4821701
J_18_B,M,SC_8_2,SC_8,SC,8,2,5.1,4.2,WL2,38.82599,-120.2509,2020,Low,421.5178299,38.41167,-120.73583000000001,0.2875182857097167,0.2948552776410517,0.6405277716592315,0.6335281479577306,62498.874631501516,-1598.4821701
D1_11_D,D1,SQ1_1_9,SQ1_1,SQ1,1,9,0.4,1.8,UCD,38.5325,-121.783,16,Mid,1921.036585,36.56435,-118.7764,0.2988229338668648,0.32476525380325294,0.4284632036279818,0.4635438006261669,344080.5527561202,1905.036585
