block ,bed ,row ,col ,unique.ID ,height.cm ,overhd.diam ,overhd.perp ,herbiv.y.n ,survey.notes 
C ,C ,49,A ,1187,6.9,2.3,1.7,N ,
C ,C ,49,B ,201,,,,,
C ,C ,50,A ,907,,,,,
C ,C ,50,B ,404,5.3,4.1,2,N ,
C ,C ,51,A ,NA ,,,,,
C ,C ,51,B ,NA ,,,,,
D ,C ,52,A ,1409,3.2,1.7,1.6,Y ,
D ,C ,52,B ,74,5.9,1.4,0.8,Y ,heavily herbivorized 
D ,C ,53,A ,248,,,,,
NA ,C ,53,B ,IH_3_B ,,,,,
D ,C ,54,A ,1255,2.2,1.4,1.2,N ,
NA ,C ,54,B ,TM2_1_14 ,,,,,TM2 Fruiting from 2023 / one seedling 
NA ,C ,55,A ,YO7_1_4 ,19.4,21.8,16.1,NA ,Dying buds 7/30 no leaves 
D ,C ,55,B ,1124,,,,,6/25/24 almost dead no leaves 
D ,C ,56,A ,739,NA ,NA ,NA ,NA ,dead 
D ,C ,56,B ,1241,,,,,
D ,C ,57,A ,34,,,,,6/18/24 wilting 
D ,C ,57,B ,453,,,,,
D ,C ,58,A ,395,6,3.1,1.4,Y ,heavily herbivorized 
D ,C ,58,B ,267,,,,,6/25/24 wilting 
D ,C ,59,A ,buffer ,,,,,
D ,C ,59,B ,buffer ,,,,,
D ,C ,60,A ,buffer ,,,,,
D ,C ,60,B ,buffer ,,,,,
A ,C ,1,C ,buffer ,,,,,
A ,C ,1,D ,buffer ,,,,,
A ,C ,2,C ,SC_5_6 ,13.4,3.2,1.2,Y ,mistakenly coded as buffer before 7/23 
A ,C ,2,D ,CC_9_6 ,35.2,18.4,12.1,N ,mistakenly coded as buffer before 7/23 
A ,C ,3,C ,buffer ,,,,,
A ,C ,3,D ,87,,,,,6/18/24 wilting 
A ,C ,4,C ,987,,,,,6/18/24 wilting 
A ,C ,4,D ,buffer ,,,,,
A ,C ,5,C ,666,,,,,6/18/24 wilting 
A ,C ,5,D ,NA ,,,,,
A ,C ,6,C ,1227,,,,,6/25/24 wilting 
A ,C ,6,D ,1185,NA ,NA ,NA ,NA ,7/30 dead 7/9/24 wilted 
A ,C ,7,C ,1172,,,,,
A ,C ,7,D ,487,,,,,6/18/24 wilting 
A ,C ,8,C ,167,,,,,6/25/24 wilting 
A ,C ,8,D ,1127,,,,,
A ,C ,9,C ,752,,,,,7/2 wilting 
A ,C ,9,D ,886,,,,,
A ,C ,10,C ,303,,,,,7/9 wilted 
NA ,C ,10,D ,BH_3_6 ,,,,,6/18/24 No tag/ 7/2 stem broken at base 
A ,C ,11,C ,763,,,,,6/25/24 wilting 
A ,C ,11,D ,1397,,,,,6/25/24 wilting 
A ,C ,12,C ,1286,,,,,6/25/24 wilting 
A ,C ,12,D ,1,,,,,
A ,C ,13,C ,736,NA ,NA ,NA ,NA ,7/9/24 wilting 7/30 dead 
A ,C ,13,D ,1245,,,,,
A ,C ,14,C ,149,,,,,6/18/24 wilting 
A ,C ,14,D ,1423,,,,,7/9/24 wilting 
A ,C ,15,C ,41,,,,,6/25/24 wilting 
A ,C ,15,D ,560,,,,,
A ,C ,16,C ,130,,,,,
A ,C ,16,D ,932,,,,,6/18/24 wilting 
A ,C ,17,C ,371,,,,,
A ,C ,17,D ,600,,,,,
A ,C ,18,C ,NA ,,,,,
A ,C ,18,D ,NA ,,,,,
B ,C ,19,C ,309,N/A ,NA ,NA ,,7/16/24 wilting 7/30 dead 
B ,C ,19,D ,298,NA ,NA ,NA ,,6/18/24 dead at planting 7/30 dead 
B ,C ,20,C ,790,4.5,1.8,1.5,Y ,
B ,C ,20,D ,1123,,,,,6/18/24 wilting 
B ,C ,21,C ,1311,,,,,7/2 wilting 
B ,C ,21,D ,1186,,,,,6/25/24 wilting 
B ,C ,22,C ,88,,,,,6/18/24 wilting 
B ,C ,22,D ,737,7.4,3.3,1.5,Y ,
B ,C ,23,C ,170,,,,,6/25/24 wilting 
NA ,C ,23,D ,TM2_4_12 ,47.5,25.5,9.8,Y ,
B ,C ,24,C ,1243,,,,,7/9 wilted 
B ,C ,24,D ,99,,,,,
B ,C ,25,C ,364,8.5,2.7,1.8,N ,7/30 wilted 
B ,C ,25,D ,1108,,,,,7/2 wilting 
B ,C ,28,C ,251,7.2,4.7,2.1,Y ,
B ,C ,28,D ,265,9.9,2.9,2.9,N ,
B ,C ,29,C ,711,4.7,2.4,1.2,Y ,
B ,C ,29,D ,393,,,,,7/9 wilted 
NA ,C ,30,C ,BH_4_7 ,29.4,10,9.1,Y ,
B ,C ,30,D ,961,4.4,1.2,0.9,N ,
B ,C ,31,C ,974,,,,,
B ,C ,31,D ,853,,,,,6/25/24 gone 
B ,C ,32,C ,859,,,,,
