parent.pop,elevation.group,elev_m,Lat,Long,ann_tmean,mean_diurnal_range,temp_seasonality,temp_ann_range,tmean_wettest_quarter,tmean_driest_quarter,ann_ppt,ppt_seasonality,ppt_warmest_quarter,ppt_coldest_quarter,TimePd
SQ3,High,2373.170732,36.72109,-118.84933,7.408333333333333,12.351611111111112,687.33080598725,31.836,1.4734444444444443,10.496722222222223,1038.12665,124.792064096381,98.16466666666666,560.6326566666667,Recent
TM2,Low,379.1526973,39.59255,-121.55072,16.307861111111112,13.012888888888888,671.1093855831009,31.565333333333335,9.918055555555556,19.660666666666668,1130.11433,123.9443558448005,89.70366666666666,622.75133,Recent
WL1,Mid,1613.837245,38.78608,-120.2143,10.824291666666667,12.76825,681.5451242034791,31.759333333333334,4.753722222222223,13.942333333333334,1281.1243066666666,117.47133855174033,121.389,656.0603133333333,Recent
WL2,High,2020.115818,38.8263,-120.25242,8.567361111111111,11.93511111111111,686.0273856522496,31.100333333333335,2.4948333333333332,11.796111111111111,1288.0556433333334,114.8679610306208,124.05966666666666,652.3499833333333,Recent
WR,Mid,1158,39.34346,-120.80659,13.079875,11.931972222222223,697.4858759856152,31.116333333333333,6.8774444444444445,16.30622222222222,1611.2069633333333,122.75143750240656,142.53833333333333,860.63563,Recent
WV,Mid,748.8570558,40.74084,-123.00364,12.244958333333333,14.217027777777778,719.8167350757051,34.205666666666666,5.334444444444444,15.538277777777777,1022.7673299999999,115.86640237176564,86.69166666666666,547.93333,Recent
YO11,High,2872.295032,37.93844,-119.23157,3.9227222222222222,12.996722222222221,690.894013345128,32.51,-1.655833333333333,6.6723888888888885,817.8373300000001,115.09949136741442,86.375,438.7569966666667,Recent
YO4,High,2157.57391,37.76378,-119.77244,8.562430555555556,11.883750000000001,669.1066558189297,30.666666666666668,2.528888888888889,11.898555555555555,1131.7369833333332,124.44702828555482,97.19466666666666,612.0149866666667,Recent
YO7,High,2469.978665,37.80903,-119.56605,6.0100138888888885,13.294416666666667,661.3761188380996,32.028333333333336,0.04655555555555559,9.087111111111112,1188.3993133333333,123.61943974045437,106.62133333333333,650.56865,Recent
YO8,High,2590.97836,37.81117,-119.48624,5.5317083333333334,13.370805555555556,664.7772974416205,32.142,-0.47027777777777796,8.556111111111111,1178.1296466666668,123.43665683664378,105.70333333333333,647.8583166666667,Recent
BH,Low,511.4294422,37.40985,-119.96458,15.341944444444444,15.211166666666667,686.2823954164885,34.42966666666667,9.390166666666667,18.873333333333335,579.0426666666667,122.76149848230013,64.70666666666666,285.324,Historical
CC,Low,313,39.58597,-121.43311,15.919180555555556,14.042694444444445,671.588500859244,33.115,9.624555555555556,19.30338888888889,982.946,118.90776490233782,97.535,501.15833333333336,Historical
CP2,High,2244.132886,38.66169,-120.13065,6.105097222222222,12.819416666666667,662.1079289148164,31.721666666666668,0.39099999999999996,9.468944444444444,1319.2386533333333,107.39172421910887,154.08133333333333,636.78732,Historical
CP3,High,2266.382201,38.70649,-120.08797,5.454680555555556,12.613972222222221,663.1563643619244,31.595333333333333,-0.24927777777777768,8.821,1271.9696633333333,106.37133762876762,148.44666666666666,609.84133,Historical
DPR,Mid,1018.591893,39.22846,-120.81518,12.957777777777778,13.460777777777778,672.2700880836007,32.25066666666667,6.444388888888889,16.532333333333334,1445.6156433333333,118.77953065518368,148.31666666666666,728.7706566666667,Historical
FR,Mid,787,40.01362,-121.18498,12.322472222222222,15.562888888888889,697.1355447217314,35.291333333333334,5.729277777777778,15.996500000000001,1010.4109966666667,116.77447511291678,97.356,518.23233,Historical
IH,Low,454.1298385,39.09332,-120.92114,14.759180555555556,14.151805555555555,662.922145607314,32.92466666666667,8.231277777777777,18.18277777777778,1056.39466,118.87849609792022,108.28266666666667,531.51966,Historical
LV1,High,2593.416641,40.47471,-121.50486,3.397222222222222,13.795,647.3929443429421,33.26133333333333,-1.2882222222222222,6.6114444444444445,1793.84429,104.70767158587967,228.913,759.1869766666667,Historical
LV3,High,2353.550747,40.47917,-121.52311,3.4010000000000002,13.813222222222223,644.9465530975411,33.242,-1.037277777777778,6.599888888888889,1758.95163,104.43283919699171,225.11033,739.2836466666668,Historical
