parent.pop,elevation.group,elev_m,Lat,Long,year,ann_tmean,mean_diurnal_range,temp_seasonality,temp_ann_range,tmean_wettest_quarter,tmean_driest_quarter,ann_ppt,ppt_seasonality,ppt_warmest_quarter,ppt_coldest_quarter
SC,Low,421.5178299,38.41167,-120.73583000000001,1916,14.388333333333334,14.253333333333332,616.0569754249173,31.49,7.208333333333333,19.39833333333333,868.8399999999999,137.52156741187818,26.040000000000003,623.4300000000001
SC,Low,421.5178299,38.41167,-120.73583000000001,1917,15.341666666666667,15.016666666666667,714.8004913430337,36.76,7.765,17.718333333333334,423.76000000000005,150.5965178156892,47.88,290.49
SC,Low,421.5178299,38.41167,-120.73583000000001,1918,14.992083333333333,14.9625,663.2043925426601,34.04,11.9,18.580000000000002,743.49,122.21155861797777,222.02,284.06
SC,Low,421.5178299,38.41167,-120.73583000000001,1919,14.895416666666666,15.770833333333334,634.8918826473647,32.86,7.748333333333332,14.518333333333333,592.34,160.40203924672085,34.51,445.68
SC,Low,421.5178299,38.41167,-120.73583000000001,1920,14.715,14.73,601.0377767585903,31.540000000000003,12.261666666666668,17.789999999999996,785.51,109.97353485908468,111.4,227.95999999999998
SC,Low,421.5178299,38.41167,-120.73583000000001,1921,15.45875,14.904166666666667,617.9695537145675,33.15,8.343333333333332,18.933333333333334,603.7400000000001,125.93109636674045,78.72000000000001,416.96000000000004
SC,Low,421.5178299,38.41167,-120.73583000000001,1922,14.680833333333332,15.155000000000001,754.5544089465026,36.93,6.3,19.525000000000002,937.5200000000001,115.0185304793656,19.78,577.44
SC,Low,421.5178299,38.41167,-120.73583000000001,1923,15.067499999999999,15.986666666666666,616.0614454301248,33.51,16.48,18.24,496.49,132.96507232425364,221.15,218.73000000000002
SC,Low,421.5178299,38.41167,-120.73583000000001,1924,15.265,16.866666666666667,657.002836578905,35.32,8.026666666666666,19.62,501.59000000000003,106.26785243051123,20.71,258.08000000000004
SC,Low,421.5178299,38.41167,-120.73583000000001,1925,15.110416666666666,15.480833333333333,596.5745574959724,33.78,8.6,18.136666666666667,644.2200000000001,112.71857037980035,85.89,314.76
SC,Low,421.5178299,38.41167,-120.73583000000001,1926,16.18,16.276666666666667,650.9576860986505,36.33,7.671666666666667,21.421666666666667,738.54,126.74059997389277,5.75,320.24
SC,Low,421.5178299,38.41167,-120.73583000000001,1927,15.23,15.075000000000001,621.4039821974985,34.07,8.121666666666668,18.955,758.87,95.41894871059624,76.66,403.18999999999994
SC,Low,421.5178299,38.41167,-120.73583000000001,1928,15.76,15.088333333333333,652.6783977650025,33.21,14.106666666666667,17.823333333333334,597.88,127.95496173939993,59.95,212.74
SC,Low,421.5178299,38.41167,-120.73583000000001,1929,15.55375,15.8975,652.2045525823098,34.35,7.931666666666666,17.448333333333334,449.14000000000004,106.67715862221631,72.6,239.91000000000003
SC,Low,421.5178299,38.41167,-120.73583000000001,1930,15.389166666666666,15.59,615.9100005584248,33.83,8.163333333333334,18.996666666666666,535.5799999999998,112.23221258553187,101.95,252.51
SC,Low,421.5178299,38.41167,-120.73583000000001,1931,16.33875,15.350833333333334,708.31805019163,36.57,8.176666666666668,20.715,668.1,120.48410722630685,18.87,429.03
SC,Low,421.5178299,38.41167,-120.73583000000001,1932,15.63,15.875,731.2002896856399,35.690000000000005,6.06,18.720000000000002,451.40000000000003,117.79509111027522,52.03,316.88
SC,Low,421.5178299,38.41167,-120.73583000000001,1933,15.225,15.883333333333333,728.8610043323511,37.72,6.233333333333333,19.5,638.9899999999999,125.04030278132632,13.07,396.63
SC,Low,421.5178299,38.41167,-120.73583000000001,1934,16.854166666666668,15.476666666666667,621.9663040176159,33.160000000000004,8.895000000000001,20.46166666666667,514.11,108.60496000543833,22.03,277.69
SC,Low,421.5178299,38.41167,-120.73583000000001,1935,15.321666666666667,15.251666666666667,696.1446862847005,33.39,15.698333333333332,16.278333333333332,706.3499999999999,120.75250963790631,219.54,264.06
SC,Low,421.5178299,38.41167,-120.73583000000001,1936,16.394583333333333,15.374166666666667,688.3707859977437,34.54,8.001666666666667,18.05666666666667,910.83,148.65889952166557,69.31,714.07
SC,Low,421.5178299,38.41167,-120.73583000000001,1937,15.31625,15.1425,748.6863685209521,38.55,6.169999999999999,19.783333333333335,885.07,112.99019028248797,53.239999999999995,508.46
SC,Low,421.5178299,38.41167,-120.73583000000001,1938,15.41,14.639999999999999,689.0192964707816,33.339999999999996,8.213333333333333,19.926666666666666,872.59,136.70539788095087,68.3,449.37
SC,Low,421.5178299,38.41167,-120.73583000000001,1939,16.07625,16.210833333333333,664.5752958571634,35.370000000000005,8.066666666666666,21.348333333333333,428.08000000000004,89.16276824772838,36.57,191.3
SC,Low,421.5178299,38.41167,-120.73583000000001,1940,16.343333333333334,14.709999999999999,614.024515846563,30.340000000000003,9.536666666666667,19.62666666666667,1060.1000000000001,127.47372244690834,153.08,787.09
SC,Low,421.5178299,38.41167,-120.73583000000001,1941,15.527083333333334,14.305833333333332,576.3882631735681,31.9,9.113333333333332,16.356666666666666,860.3599999999999,103.44327146107379,102.92999999999999,521.0699999999999
SC,Low,421.5178299,38.41167,-120.73583000000001,1942,15.23,15.465,654.530678494835,33.65,7.841666666666666,18.963333333333335,931.72,99.11821334056538,153.85999999999999,415.76
SC,Low,421.5178299,38.41167,-120.73583000000001,1943,15.875833333333333,15.751666666666667,593.0654506779829,32.82,8.861666666666666,17.843333333333334,702.2999999999998,126.93236162954851,66.35,360.85
SC,Low,421.5178299,38.41167,-120.73583000000001,1944,15.405000000000001,15.291666666666666,643.251965336361,32.46,8.368333333333334,18.1,792.1700000000001,100.26077498588424,95.25,363.40999999999997
SC,Low,421.5178299,38.41167,-120.73583000000001,1945,15.585416666666667,14.930833333333334,710.5480745789681,35.34,8.15,20.488333333333333,883.4999999999999,104.51306004846342,28.59,429.17999999999995
SC,Low,421.5178299,38.41167,-120.73583000000001,1946,14.975833333333334,15.709999999999999,680.9380172477767,34.349999999999994,12.170000000000002,20.421666666666667,491.75000000000006,108.64655850608764,11.92,170.48000000000002
SC,Low,421.5178299,38.41167,-120.73583000000001,1947,15.32625,15.7925,663.3060491000571,34.38,15.03,20.173333333333332,461.73,109.15427318843489,30.930000000000003,115.47999999999999
