parent.pop,elevation.group,elev_m,ppt_dist,cwd_dist,pck_dist,tmn_dist,tmx_dist,ann_tmean_dist,mean_diurnal_range_dist,temp_seasonality_dist,temp_ann_range_dist,tmean_wettest_quarter_dist,tmean_driest_quarter_dist,ann_ppt_dist,ppt_seasonality_dist,ppt_warmest_quarter_dist,ppt_coldest_quarter_dist
SQ3,High,2373.170732,12.771390277777783,-4.174611111111119,3.9773113888888645,2.519805555555555,0.5300833333333337,1.524944444444448,-1.9897222222221878,69.32521529356609,-0.39133333333333553,-1.166666666666667,8.265611111111111,153.25668333333329,-16.753247191578964,-87.15166666666669,224.5320099999999
TM2,Low,379.1526973,4.411000277777774,0.7830000000000013,137.22083333333333,-6.10261111111111,-8.689888888888888,-7.396249999999995,-2.5872777777777447,84.6675795144107,-0.3440000000000012,-9.705833333333334,-0.985833333333332,52.932003333333114,-17.893069354762446,-79.12166666666668,157.95700333333332
WL1,Mid,1613.837245,-8.294553333333326,-0.7439444444444447,70.87708527777772,-0.7156944444444449,-3.0501944444444433,-1.8829444444444423,-2.3344999999999665,75.45511635598189,-0.29866666666666575,-4.852222222222223,4.680944444444446,-99.53464000000008,-7.774268512873604,-105.358,126.74535333333324
WL2,High,2020.115818,-8.94919250000001,2.6726388888888835,-21.07279666666659,1.1360555555555556,-0.38586111111111165,0.37509722222222663,-1.5219166666666322,71.19935870602023,0.35866666666666447,-2.623555555555556,6.85888888888889,-107.39031,-5.113522770773244,-111.27933333333334,130.09101666666663
WR,Mid,1158,-35.9885525,11.119416666666666,106.11758333333331,-3.383694444444445,-4.923222222222222,-4.1534583333333295,-1.539527777777744,58.81738457714516,0.20366666666666688,-6.300111111111112,2.0391666666666666,-431.8626300000001,-13.963430285396527,-134.19266666666664,-80.87929666666673
WV,Mid,748.8570558,12.963166944444453,11.802722222222215,110.72927777777778,-1.3994722222222222,-5.219555555555555,-3.309513888888885,-3.820083333333301,36.93518695549983,-2.951999999999998,-5.536944444444445,3.0595000000000017,155.55800333333332,-8.986719388589648,-73.35233333333333,229.65266999999994
YO11,High,2872.295032,30.84933361111112,0.034749999999995396,-58.79954555555557,6.3213333333333335,3.7299444444444436,5.025638888888892,-2.591388888888856,67.83862264969298,-1.0166666666666657,1.7492777777777775,11.81827777777778,370.19200333333333,-6.265049835780758,-74.10300000000001,345.7590033333333
YO4,High,2157.57391,4.286473611111106,0.5820277777777747,1.8897838888889282,1.1129444444444445,-0.36619444444444404,0.3733750000000029,-1.4791388888888566,87.52575580162636,0.8136666666666663,-2.2143333333333333,7.130222222222226,51.4376833333331,-14.85814535590896,-87.586,169.65001333333328
YO7,High,2469.978665,-0.4704983333333388,3.389555555555553,-100.73229222222216,4.380916666666667,1.491999999999999,2.936458333333337,-2.888916666666633,95.95704700066972,-0.4980000000000011,0.16216666666666638,9.87988888888889,-5.645980000000009,-13.919264958967005,-97.51333333333332,131.0633499999999
YO8,High,2590.97836,0.45419611111110214,-11.546805555555558,-114.85578861111102,4.904055555555555,1.9317222222222217,3.4178888888888928,-2.9723333333333013,92.96475223227219,-0.642000000000003,0.6791111111111109,10.351722222222223,5.450353333333396,-13.825493434865166,-96.47433333333332,134.25834999999995
