parent.pop,elevation.group,elev_m,Lat,Long,year,cwd,pck,ppt,tmn,tmx,ann_tmean,mean_diurnal_range,temp_seasonality,temp_ann_range,ann_ppt,ppt_seasonality,tmean_wettest_month,tmean_driest_month,ppt_warmest_month,ppt_coldest_month
SQ3,High,2373.170732,36.72109,-118.84933,1967,66.29333333333334,26.108333333333338,51.16666666666667,3.795,16.303333333333335,10.049166666666666,12.508333333333333,7.686430521813533,32.7,307,129.70402465528676,-2.62,17.23,3.35,176.05
SQ3,High,2373.170732,36.72109,-118.84933,1968,72.815,43.34166666666667,76.10999999999999,2.638333333333333,14.81,8.724166666666667,12.171666666666669,7.141505035121566,30.57,456.66,144.96853681661227,-2.23,13.44,1.8,287.78
SQ3,High,2373.170732,36.72109,-118.84933,1969,61.516666666666666,5.970000000000001,48.1,2.9116666666666666,15.671666666666667,9.291666666666666,12.76,6.656501834046669,28.35,288.6,82.72646179460406,0.98,16.7,0.18,98.46
SQ3,High,2373.170732,36.72109,-118.84933,1970,72.61666666666667,46.36333333333333,85.45166666666668,2.2800000000000002,15.316666666666666,8.798333333333334,13.036666666666669,7.591865163888691,31.79,512.71,150.40085697084126,-2.795,11.545000000000002,9.87,288.48
SQ3,High,2373.170732,36.72109,-118.84933,1971,69.17833333333333,49.45333333333333,77.04,2.0016666666666665,14.026666666666666,8.014166666666666,12.025,8.354100440302753,32.47,462.2399999999999,150.8071203356436,-4.2749999999999995,16.685,1.63,304.26
SQ3,High,2373.170732,36.72109,-118.84933,1972,69.56333333333333,61.16833333333334,74.29666666666667,1.2733333333333334,13.445,7.359166666666667,12.171666666666669,8.035554378303134,33.010000000000005,445.78,113.26314811132916,0.09499999999999977,16.86,1.83,207.1
SQ3,High,2373.170732,36.72109,-118.84933,1973,66.98666666666666,45.964999999999996,71.14833333333334,2.395,14.633333333333333,8.514166666666666,12.238333333333332,6.5897461382565155,26.86,426.89,127.16615007039285,0.7650000000000001,11.82,0.11,212.58
SQ3,High,2373.170732,36.72109,-118.84933,1974,67.73666666666666,14.101666666666665,41.29,2.8249999999999997,15.298333333333334,9.061666666666667,12.473333333333333,6.899705549272857,28.15,247.74000000000004,108.98128818337956,-0.875,14.7,13.01,118.08
SQ3,High,2373.170732,36.72109,-118.84933,1975,66.83333333333333,0,41.88166666666667,2.8033333333333337,15.063333333333333,8.933333333333334,12.26,5.7369082846657635,24.33,251.29,123.99405309181076,5.735,13.645,11.23,140.07
SQ3,High,2373.170732,36.72109,-118.84933,1976,67.58,0,33.824999999999996,2.888333333333333,15,8.944166666666666,12.111666666666666,4.4356571290696785,24.81,202.95,116.07875847733776,11.145,5.88,14.46,114.74
SQ3,High,2373.170732,36.72109,-118.84933,1977,74.845,23.601666666666667,81.39,3.598333333333333,15.828333333333333,9.713333333333331,12.23,5.252193510017188,24.5,488.34,189.6684250131818,2.65,11,12.85,397.37
SQ3,High,2373.170732,36.72109,-118.84933,1978,63.23,17.630000000000003,59.27666666666667,2.0749999999999997,14.3,8.1875,12.225,6.939110713917166,28.15,355.66,108.02636448805238,10.12,10.1,2.04,150.83
SQ3,High,2373.170732,36.72109,-118.84933,1979,71.73666666666666,0.6033333333333333,43.845,2.8383333333333334,15.34,9.089166666666667,12.501666666666669,5.843995565250428,24.99,263.07,100.40957292056429,2.485,13.005,3.83,90.79
SQ3,High,2373.170732,36.72109,-118.84933,1980,65.63666666666667,0,27.811666666666664,3.8333333333333335,16.045,9.939166666666669,12.211666666666666,4.8540667657817265,24.74,166.86999999999998,134.6338969626589,3.2100000000000004,14.195,21.77,104.74
SQ3,High,2373.170732,36.72109,-118.84933,1981,74.23333333333333,4.448333333333333,61.068333333333335,3.0183333333333335,15.436666666666667,9.2275,12.418333333333331,6.532079875506728,26.71,366.41,107.04181987921352,3.67,15.645,2.67,138.01
SQ3,High,2373.170732,36.72109,-118.84933,1982,56.053333333333335,86.845,161.82166666666666,1.8716666666666666,13.195,7.533333333333333,11.323333333333334,6.502058648356432,27.33,970.93,86.13497100826959,-0.81,14.745,11.5,364.17
SQ3,High,2373.170732,36.72109,-118.84933,1983,57.568333333333335,86.80666666666667,133.94333333333333,2.695,13.831666666666667,8.263333333333334,11.136666666666668,6.218764078711032,24.44,803.6600000000001,121.86561146105431,0.08999999999999986,13.055,53.67,351.38
SQ3,High,2373.170732,36.72109,-118.84933,1984,62.425,61.095,80.34833333333333,2.711666666666667,13.738333333333333,8.225000000000001,11.026666666666667,8.29584715384752,29.270000000000003,482.09,110.5106731192214,0.4000000000000003,16.035,46.34,248.17
SQ3,High,2373.170732,36.72109,-118.84933,1985,69.69666666666667,41.30166666666666,78.79666666666667,2.8700000000000006,14.166666666666666,8.518333333333333,11.296666666666669,6.477002135762089,27.23,472.78,119.33858407149444,1.085,15.02,11.53,246.69
SQ3,High,2373.170732,36.72109,-118.84933,1986,69.60666666666667,0,22.619999999999997,2.3133333333333335,14.23,8.2716666666666665,11.916666666666668,5.834130326506829,27.07,135.72,98.40323115823182,7.55,16.295,3.7,68.2
SQ3,High,2373.170732,36.72109,-118.84933,1987,75.50666666666667,28.15,57.36666666666667,2.6733333333333333,14.48,8.576666666666666,11.806666666666668,7.12838106912549,29.95,344.20000000000005,119.52691726491253,-2.63,13.37,6.21,177.81
SQ3,High,2373.170732,36.72109,-118.84933,1988,73.335,24.86,70.6,4.125,16.145,10.135,12.02,7.159400812917237,29.4,423.6,129.87066168891502,-0.2450000000000001,12.11,10.94,194.61
SQ3,High,2373.170732,36.72109,-118.84933,1989,78.995,0,32.95333333333333,3.8116666666666665,16.12,9.965833333333334,12.308333333333334,5.000245410644029,25.22,197.72,104.69703859216833,12.33,4.425000000000001,0.01,72.18
SQ3,High,2373.170732,36.72109,-118.84933,1990,81.46166666666667,5.953333333333333,20.051666666666666,3.631666666666667,15.496666666666666,9.564166666666669,11.864999999999998,6.658009775200594,29.409999999999997,120.31,105.47148953259487,-0.955,10.685,3.01,54.21
SQ3,High,2373.170732,36.72109,-118.84933,1991,70.55166666666666,1.9449999999999998,42.153333333333336,4.711666666666667,16.246666666666666,10.479166666666666,11.535,5.848240262392326,25.51,252.92,105.03283923838625,10.35,16.33,0.4,99.45
SQ3,High,2373.170732,36.72109,-118.84933,1992,70.51666666666667,45.03833333333334,88.78999999999999,3.8299999999999996,15.2,9.515,11.37,7.291922243140008,30.450000000000003,532.74,127.98727990689164,-2.04,3.645,7.8,288.7
SQ3,High,2373.170732,36.72109,-118.84933,1993,69.13,5.991666666666667,35.144999999999996,3.4650000000000003,15.254999999999999,9.36,11.79,6.022635635666497,26.19,210.87,123.27687067322458,1.015,14.01,3.48,98.39
TM2,Low,379.1526973,39.59255,-121.55072,1964,35.21,0,132.5675,5.42375,18.18375,11.80375,12.76,4.563132343655428,26.290000000000003,1060.54,113.4816885684214,8.655000000000001,9.94,32.3,453.16
TM2,Low,379.1526973,39.59255,-121.55072,1965,33.728750000000005,0,119.4175,5.85625,17.995,11.925625,12.138750000000002,4.882709608915935,27.42,955.34,90.54539184077528,7.345000000000001,19.91,4.24,288.53
TM2,Low,379.1526973,39.59255,-121.55072,1966,46.05375,0,115.105,6.38125,19.27,12.825625,12.88875,5.966297270921053,29.19,920.84,96.96929961754569,11.795,22.21,1.45,320.86
TM2,Low,379.1526973,39.59255,-121.55072,1967,8.43875,0,144.84875,5.2825,17.86875,11.575625,12.58625,5.095270522399039,27.83,1158.79,83.5746908524025,7.76,17.695,54.82,390.36
TM2,Low,379.1526973,39.59255,-121.55072,1968,44.78375,0.7550000000000001,124.69,5.55625,19.00625,12.28125,13.45,5.610428905172937,31.790000000000003,997.52,80.72813857396766,5.5,22.66,9.57,263.4
TM2,Low,379.1526973,39.59255,-121.55072,1969,24.755000000000003,11.487499999999999,174.98250000000002,5.6125,18.21875,11.915625,12.60625,5.3842080180972625,26.46,1399.86,103.32864009110304,5.755,18.994999999999997,16.15,463.92
TM2,Low,379.1526973,39.59255,-121.55072,1970,32.775,0,174.35998750000002,6.4575,18.7075,12.5825,12.25,5.209112208428611,27.92,1394.8799000000004,105.1210193176086,8.81,18.64,26.66,517.8499
