parent.pop,elevation.group,elev_m,cwd_dist,ppt_dist,pck_dist,tmn_dist,tmx_dist,ann_tmean_dist,mean_diurnal_range_dist,temp_seasonality_dist,temp_ann_range_dist,tmean_wettest_quarter_dist,tmean_driest_quarter_dist,ann_ppt_dist,ppt_seasonality_dist,ppt_warmest_quarter_dist,ppt_coldest_quarter_dist
SC,Low,421.5178299,7.193444444444438,-1.505583333333334,-0.04977777777777768,0.6959722222222222,-0.2534444444444439,0.22126388888888648,-0.9494166666666679,-649.493976673241,-1.4536666666666704,0.0538333333333334,6.297888888888885,-18.067000000000007,29.034864840688996,-82.68166666666667,-104.565
SQ1,Mid,1921.036585,11.2986111111111,-23.69324861111111,-82.83135805555554,6.372472222222221,8.088833333333332,7.230652777777777,1.7163611111111106,-645.5460169675861,1.357999999999997,6.23661111111111,13.039111111111108,-284.3189833333332,27.662849757319037,-117.19200000000001,-243.7976533333333
SQ2,Mid,1934.45122,27.944722222222218,-25.945777222222226,-86.87388583333323,6.463749999999999,8.121694444444444,7.292722222222222,1.6579444444444427,-644.162858180026,1.2413333333333298,6.261666666666667,13.04472222222222,-311.3493266666667,27.334700007034115,-117.69666666666664,-256.45766000000003
SQ3,High,2373.170732,23.920888888888882,-33.689804999999986,-169.7941847222223,8.5215,10.325361111111109,9.423430555555555,1.803861111111111,-631.5079369846745,1.4693333333333314,8.263444444444445,15.212499999999997,-404.27765999999997,27.798405937819496,-119.28966666666669,-301.8673266666667
TM2,Low,379.1526973,27.232861111111106,-31.46091638888891,-0.45561111111111147,-0.05319444444444521,0.01169444444444423,-0.020749999999999602,0.06488888888888766,-665.2170609232222,-0.6863333333333372,-0.30727777777777554,5.85222222222222,-377.5309966666666,26.516817277196196,-109.497,-297.8699966666667
WL1,Mid,1613.837245,24.18319444444444,-41.79366555555554,-78.35049833333336,5.508972222222222,6.040277777777778,5.774624999999999,0.531305555555555,-656.7753710012695,-0.2326666666666668,5.443833333333334,11.518388888888886,-501.52398666666636,35.20575325002481,-131.63366666666667,-330.61932333333334
WL2,High,2020.115818,29.34713888888888,-44.56077694444445,-178.52846083333338,7.365194444444445,8.727166666666665,8.046180555555555,1.3619722222222208,-652.4742458151419,0.6869999999999976,7.614,13.837611111111109,-534.7293233333335,38.25303731446739,-141.82366666666667,-333.99899000000005
WR,Mid,1158,37.779888888888884,-73.32196944444445,-49.59730527777778,3.2698888888888886,3.9253888888888895,3.5976388888888913,0.6555,-666.3471365902353,0.05099999999999838,3.5229444444444447,9.305388888888887,-879.8636333333332,28.116146753301393,-155.32033333333334,-538.5939766666667
WV,Mid,748.8570558,36.45452777777778,-24.23361111111111,-36.46058250000005,4.517888888888889,3.6178333333333335,4.06786111111111,-0.9000555555555572,-712.2433353866027,-3.111000000000004,4.567,9.299722222222222,-290.8033333333333,34.010315253729345,-99.46433333333334,-244.26266666666663
YO11,High,2872.295032,25.60280555555555,-6.562111111111115,-203.3778205555556,13.177416666666666,12.792888888888887,12.985152777777778,-0.38452777777777847,-662.374235588949,-1.261333333333333,11.874555555555556,19.258277777777774,-78.7453333333334,39.47260150918291,-91.385,-124.73500000000001
YO4,High,2157.57391,26.869138888888884,-34.696804444444446,-151.20793611111117,7.417583333333333,8.85486111111111,8.136222222222223,1.4372777777777745,-643.7536176536959,1.0516666666666659,6.9496111111111105,13.659166666666666,-416.36165333333315,30.549358239089813,-116.527,-295.39198999999996
YO7,High,2469.978665,29.654305555555553,-41.222665833333345,-268.44561916666663,10.436472222222221,10.824888888888887,10.630680555555557,0.38841666666666796,-639.3374987256726,0.09699999999999775,9.522499999999999,16.463611111111106,-494.67199000000005,33.426362721278906,-124.40533333333332,-339.5513266666667
YO8,High,2590.97836,15.224499999999992,-40.376610555555565,-283.3625369444444,11.133166666666666,11.207833333333333,11.1705,0.07466666666666555,-642.1812400407143,-0.25200000000000244,10.09911111111111,16.90672222222222,-484.51932666666676,33.49999791294164,-123.72333333333334,-337.69266000000005
