parent.pop,elevation.group,elev_m,Lat,Long,Gowers_Dist,bias,std.error,conf.low,conf.high,TimePd
CP3,High,2266.382201,38.70649,-120.08797,0.4838182023156495,-0.004849059597668459,0.01690520092819123,0.45553367694265,0.5218008468839859,Recent
LVTR1,High,2741.38982,40.47917,-121.5032,0.4878916190475065,-0.008886320615658583,0.02121736412646512,0.4551926701284213,0.5383632091979088,Recent
LV3,High,2353.550747,40.47917,-121.52311,0.49434491119685925,-0.009395347399944687,0.021543068282226477,0.4615166206471529,0.5459638965464549,Recent
TM2,Low,379.1526973,39.59255,-121.55072,0.5458020135197627,-0.017454863041183488,0.025724089331309794,0.512838587936488,0.6136751651854043,Recent
YO11,High,2872.295032,37.93844,-119.23157,0.6131117079211087,-0.01326725715268151,0.019417776104195244,0.588320823249705,0.6644371068978754,Recent
DPR,Mid,1018.591893,39.22846,-120.81518,0.1666014958380222,0.0028555310680795642,0.015327305104292234,0.13370499878547293,0.19378693075441233,Historical
WR,Mid,1158,39.34346,-120.80659,0.1763863651285267,0.003068380807224158,0.015370073036867002,0.14319319472929307,0.20344277391331203,Historical
FR,Mid,787,40.01362,-121.18498,0.20948560067700503,4.6059344926169254e-4,0.01768986079188323,0.174353517184125,0.24369649727136167,Historical
WL1,Mid,1613.837245,38.78608,-120.2143,0.24179018632613883,4.3506428296324895e-4,0.012691297762915601,0.21648063551078725,0.2662296085755639,Historical
WV,Mid,748.8570558,40.74084,-123.00364,0.25142351990946943,0.0019213761443190314,0.02041180707260829,0.2094957370434582,0.2895085504868426,Historical
IH,Low,454.1298385,39.09332,-120.92114,0.25266640450013367,-0.0035236757451488077,0.013710748965097195,0.22931750607262213,0.28306265441794276,Historical
BH,Low,511.4294422,37.40985,-119.96458,0.33554162637601165,-8.59126654106479e-4,0.012959736750431675,0.3110001357501519,0.36180137031008436,Historical
SQ1,Mid,1921.036585,36.56435,-118.7764,0.34343744030092266,6.078101779177225e-4,0.01766339774908744,0.3082100066901877,0.37744925355582215,Historical
SQ2,Mid,1934.45122,36.66557,-118.83543,0.35405322530453026,0.002351513234791769,0.018669821664303917,0.31510953400991715,0.38829389012955984,Historical
SC,Low,421.5178299,38.41167,-120.73583000000001,0.3614023678012319,9.911061105089547e-4,0.015110404859003335,0.3307954123752574,0.39002711100618853,Historical
YO4,High,2157.57391,37.76378,-119.77244,0.3662881952407945,2.3474320458660713e-4,0.014375875303823032,0.33787725419447595,0.3942296498779398,Historical
WL2,High,2020.115818,38.8263,-120.25242,0.3710235492002998,0.002226318020867646,0.015150892360247997,0.339102027819703,0.3984924345391613,Historical
CC,Low,313,39.58597,-121.43311,0.3989702831045727,5.517629837631932e-4,0.026027726346560434,0.34740511388208684,0.4494319263595322,Historical
CP2,High,2244.132886,38.66169,-120.13065,0.4044148461374616,0.0013138113518833539,0.02304140808310031,0.35794070478961154,0.44826136478154494,Historical
