month,growmonth,parent.pop,elevation.group,elev_m,PckSum,year,cwd,pck,ppt,tmn,tmx,AvgFirstMonth,AvgLastMonth
10,NA,YO4,High,2157.57391,1776.3496654828389,1967,66.970001220703125,0,12.34000015258789,3.1600000858306885,17.979999542236328,5,12
11,NA,YO4,High,2157.57391,1776.3496654828389,1967,39.20000076293945,0,83.20999908447266,0.1899999976158142,12.1899995803833,5,12
12,NA,YO4,High,2157.57391,1776.3496654828389,1967,23.729999542236328,109.95999908447266,130.25999450683594,-7.590000152587891,4.429999828338623,5,12
6,NA,YO4,High,2157.57391,1776.3496654828389,1968,88.86000061035156,0,11.15999984741211,6.619999885559082,21.299999237060547,5,12
7,NA,YO4,High,2157.57391,1776.3496654828389,1968,93.05999755859376,0,3.75,10.31999969482422,24.40999984741211,5,12
8,NA,YO4,High,2157.57391,1776.3496654828389,1968,64.63999938964844,0,25,7.929999828338623,20.90999984741211,5,12
9,NA,YO4,High,2157.57391,1776.3496654828389,1968,80.83000183105469,0,0.02999999932944774,6.139999866485596,21.850000381469727,5,12
10,NA,YO4,High,2157.57391,1776.3496654828389,1968,66.61000061035156,0,74.62000274658203,2.5199999809265137,16.229999542236328,5,12
11,NA,YO4,High,2157.57391,1776.3496654828389,1968,34.04999923706055,4.760000228881836,170.9600067138672,-2.640000104904175,9.0600004196167,5,12
12,NA,YO4,High,2157.57391,1776.3496654828389,1968,22.3799991607666,276.8299865722656,292.6000061035156,-7.139999866485596,3.7300000190734863,5,12
6,NA,YO4,High,2157.57391,1776.3496654828389,1969,58.54999923706055,0,35.58000183105469,4.25,17.020000457763672,5,12
7,NA,YO4,High,2157.57391,1776.3496654828389,1969,87.41999816894531,0,3.0999999046325684,9.09000015258789,24.1299991607666,5,12
8,NA,YO4,High,2157.57391,1776.3496654828389,1969,81.86000061035156,0,0.07000000029802322,9.729999542236328,25.700000762939453,5,12
9,NA,YO4,High,2157.57391,1776.3496654828389,1969,77.05000305175781,0,4.5,6.820000171661377,22.020000457763672,5,12
10,NA,YO4,High,2157.57391,1776.3496654828389,1969,56.599998474121094,0,128.44000244140625,0.20000000298023224,12.5,5,12
11,NA,YO4,High,2157.57391,1776.3496654828389,1969,36.900001525878906,0,60.939998626708984,-1.7899999618530271,11.34000015258789,5,12
12,NA,YO4,High,2157.57391,1776.3496654828389,1969,26.600000381469727,95.61000061035156,177.9499969482422,-4.090000152587891,6.670000076293945,5,12
6,NA,YO4,High,2157.57391,1776.3496654828389,1970,61.18000030517578,0,54.5099983215332,5.760000228881836,19.219999313354492,5,12
7,NA,YO4,High,2157.57391,1776.3496654828389,1970,90.80999755859376,0,0,10.40999984741211,25.049999237060547,5,12
8,NA,YO4,High,2157.57391,1776.3496654828389,1970,84.6500015258789,0,0,10.15999984741211,25.6299991607666,5,12
9,NA,YO4,High,2157.57391,1776.3496654828389,1970,76.98999786376953,0,0,5.119999885559082,20.86000061035156,5,12
10,NA,YO4,High,2157.57391,1776.3496654828389,1970,64.25,0,22.329999923706055,1.7400000095367432,14.770000457763672,5,12
11,NA,YO4,High,2157.57391,1776.3496654828389,1970,35.349998474121094,33.970001220703125,293.5,-1.690000057220459,9.56999969482422,5,12
12,NA,YO4,High,2157.57391,1776.3496654828389,1970,21.6200008392334,307.75,281.0799865722656,-7.340000152587891,2.5199999809265137,5,12
6,NA,YO4,High,2157.57391,1776.3496654828389,1971,81.6500015258789,0,11.1899995803833,3.5399999618530273,18,5,12
7,NA,YO4,High,2157.57391,1776.3496654828389,1971,90,0,1.100000023841858,9.640000343322754,23.770000457763672,5,12
8,NA,YO4,High,2157.57391,1776.3496654828389,1971,65.41999816894531,0,8.619999885559082,10.270000457763672,24.809999465942383,5,12
9,NA,YO4,High,2157.57391,1776.3496654828389,1971,68.69999694824219,0,22.020000457763672,5.570000171661377,20.56999969482422,5,12
10,NA,YO4,High,2157.57391,1776.3496654828389,1971,60.650001525878906,0,23.170000076293945,-0.8199999928474426,12.979999542236328,5,12
11,NA,YO4,High,2157.57391,1776.3496654828389,1971,34.20000076293945,24.61000061035156,167.57000732421875,-3.759999990463257,8.9399995803833,5,12
12,NA,YO4,High,2157.57391,1776.3496654828389,1971,20.25,334.07000732421875,316.5299987792969,-9.25,1.3799999952316284,5,12
6,NA,YO4,High,2157.57391,1776.3496654828389,1972,61.84000015258789,0,30.079999923706055,5.699999809265137,20.219999313354492,5,12
7,NA,YO4,High,2157.57391,1776.3496654828389,1972,91.79000091552734,0,0,9.90999984741211,24.940000534057617,5,12
8,NA,YO4,High,2157.57391,1776.3496654828389,1972,64.339996337890625,0,16.729999542236328,8.149999618530273,23.219999313354492,5,12
9,NA,YO4,High,2157.57391,1776.3496654828389,1972,65.63999938964844,0,34.56999969482422,4.300000190734863,18.239999771118164,5,12
10,NA,YO4,High,2157.57391,1776.3496654828389,1972,59.560001373291016,0,39.2599983215332,0.44999998807907104,11.06999969482422,5,12
