parent.pop,elevation.group,elev_m,Lat,Long,year,ann_tmean,mean_diurnal_range,temp_seasonality,temp_ann_range,tmean_wettest_quarter,tmean_driest_quarter,ann_ppt,ppt_seasonality,ppt_warmest_quarter,ppt_coldest_quarter
CP2,High,2244.132886,38.66169,-120.13065,1976,5.840416666666666,13.820833333333333,580.5315925289875,30.9,4.028333333333333,8.838333333333333,632.91,64.32845406577931,66.19,182.73000000000002
CP2,High,2244.132886,38.66169,-120.13065,1977,6.746666666666666,14.175,664.4634312850869,33.61,1.9866666666666666,7.89,508.87,88.49135357164812,51.58,184.14
CP2,High,2244.132886,38.66169,-120.13065,1978,6.3116666666666665,13.1,599.5708060897825,29.9,-0.35666666666666674,6.925,1742.35,93.7070335101181,252.46,945.53
CP2,High,2244.132886,38.66169,-120.13065,1979,5.565416666666667,13.429166666666667,730.7611056703867,32.67,-3.2116666666666664,10.433333333333332,1283.57,88.98217708138027,98.34,661.1299999999999
CP2,High,2244.132886,38.66169,-120.13065,1980,5.86625,12.4575,589.1461897988864,30,0.615,10.058333333333334,1537.34,115.98670162307,109.78,1037.6399999999999
CP2,High,2244.132886,38.66169,-120.13065,1981,7.28375,12.914166666666667,639.9922984266722,31.03,1.3716666666666668,11.985,971.8100000000001,93.47642129231434,97.93,446.15
CP2,High,2244.132886,38.66169,-120.13065,1982,5.38375,11.335833333333333,622.3329686459142,30.24,-0.8616666666666667,7.789999999999999,2309.8300000000004,74.12124595014082,400.39,927.18
CP2,High,2244.132886,38.66169,-120.13065,1983,5.240833333333334,11.266666666666667,625.8347455901427,26.84,-0.5700000000000002,7.833333333333333,2054.38,83.30123245807403,359.6,914.3399999999999
CP2,High,2244.132886,38.66169,-120.13065,1984,6.175833333333333,11.85,682.9179983162271,31.08,4.651666666666666,9.346666666666666,1691.6000000000004,127.32825736986972,123.32999999999998,653.58
CP2,High,2244.132886,38.66169,-120.13065,1985,6.200833333333334,12.325,732.5908827682415,32.25,2.2616666666666667,10.61,1044.8700000000001,117.79242455817618,143.3,231.79
CP2,High,2244.132886,38.66169,-120.13065,1986,6.6725,11.886666666666667,597.9378768278981,29.55,1.18,9.924999999999999,1739.6199000000001,131.9435641539027,290.61,1005.3799000000001
CP2,High,2244.132886,38.66169,-120.13065,1987,7.652083333333334,12.890833333333333,693.4062320541367,32.49,-0.6333333333333334,13.486666666666666,690.9499999999999,107.31551150124004,27.89,361.65
CP2,High,2244.132886,38.66169,-120.13065,1988,7.459583333333334,12.8225,732.3951509922562,33.05,-0.7999999999999999,11.219999999999999,704.7399999999999,117.56868477141246,106.34,397.52
CP2,High,2244.132886,38.66169,-120.13065,1989,6.1708333333333325,11.778333333333334,690.1030829894293,31.689999999999998,3.3949999999999996,9.33,1438.1299999999999,92.42180486791099,210.3,350.45
CP2,High,2244.132886,38.66169,-120.13065,1990,7.20125,12.8175,638.0079482619747,33.339999999999996,4.533333333333332,10.386666666666665,835.4599999999998,80.92050823498681,145.57999999999998,308.41999999999996
CP2,High,2244.132886,38.66169,-120.13065,1991,6.4662500000000005,12.342500000000001,698.8866511361937,32.17,1.6066666666666665,9.455,1001.79,149.37880209754667,90.46,131.46
CP2,High,2244.132886,38.66169,-120.13065,1992,7.71875,12.240833333333333,617.5181677489335,29.810000000000002,0.4599999999999999,12.765,897.5400000000001,82.44821016276795,73.78999999999999,366.90999999999997
