parent.pop,elevation.group,elev_m,Lat,Long,cwd,pck,ppt,tmn,tmx,TimePd
YO11,High,2872.295032,37.93844,-119.23157,56.381083333333336,196.0203788888889,68.64983305555555,-2.533,10.387555555555556,Recent
YO4,High,2157.57391,37.76378,-119.77244,55.83380555555556,135.3310494444444,95.21269305555555,2.6753888888888886,14.483694444444444,Recent
YO7,High,2469.978665,37.80903,-119.56605,53.02627777777778,237.9531255555555,99.969665,-0.5925833333333335,12.6255,Recent
YO8,High,2590.97836,37.81117,-119.48624,67.96263888888889,252.07662194444435,99.04497055555555,-1.1157222222222218,12.185777777777778,Recent
BH,Low,511.4294422,37.40985,-119.96458,74.71080555555555,0.019500000000000045,48.395361111111114,7.785777777777778,22.969333333333335,Historical
CC,Low,313,39.58597,-121.43311,59.80169444444444,0.07925000000000033,81.98952777777778,8.910805555555555,22.944444444444443,Historical
CP2,High,2244.132886,38.66169,-120.13065,60.815777777777775,263.18389861111126,109.72811,-0.24508333333333313,12.54363888888889,Historical
CP3,High,2266.382201,38.70649,-120.08797,44.13011111111111,279.43659388888875,105.77586083333333,-0.7932222222222223,11.788166666666667,Historical
DPR,Mid,1018.591893,39.22846,-120.81518,26.715944444444446,20.328110833333305,120.1236925,6.2715,19.718138888888888,Historical
FR,Mid,787,40.01362,-121.18498,74.13183333333333,19.092722222222253,84.21413861111112,4.590972222222223,20.13352777777778,Historical
IH,Low,454.1298385,39.09332,-120.92114,50.436277777777775,1.4716388888888878,87.79488833333333,7.709777777777778,21.858527777777777,Historical
LV1,High,2593.416641,40.47471,-121.50486,46.750305555555556,508.36145861111106,149.09230194444444,-3.4611666666666667,10.334111111111111,Historical
LV3,High,2353.550747,40.47917,-121.52311,38.10977777777778,500.92190305555556,146.17683027777778,-3.4669166666666666,10.346666666666666,Historical
LVTR1,High,2741.38982,40.47917,-121.5032,49.400888888888886,527.1995441666668,154.39232972222223,-3.603111111111111,10.189833333333333,Historical
SC,Low,421.5178299,38.41167,-120.73583000000001,72.83191666666667,0.049777777777777685,61.71486111111111,7.828777777777778,22.756944444444443,Historical
SQ1,Mid,1921.036585,36.56435,-118.7764,68.78661111111111,82.8738302777778,84.08874861111111,2.177666666666667,14.420972222222222,Historical
SQ2,Mid,1934.45122,36.66557,-118.83543,52.12533333333333,86.88808027777786,86.30522166666667,2.0897222222222225,14.390027777777778,Historical
SQ3,High,2373.170732,36.72109,-118.84933,56.22547222222222,169.38096249999992,94.02566611111111,0.029611111111110984,12.185166666666667,Historical
TM2,Low,379.1526973,39.59255,-121.55072,52.90022222222222,0.45561111111111147,91.80866638888888,8.550555555555556,22.484638888888888,Historical
WL1,Mid,1613.837245,38.78608,-120.2143,56.03275,78.10630388888895,101.45013777777778,3.027861111111111,16.48113888888889,Historical
WL2,High,2020.115818,38.8263,-120.25242,50.76327777777778,177.61973861111122,104.1863325,1.174138888888889,13.785916666666667,Historical
WR,Mid,1158,39.34346,-120.80659,42.36947222222222,49.427305277777805,132.99619166666668,5.2667222222222225,18.58925,Historical
WV,Mid,748.8570558,40.74084,-123.00364,43.57486111111111,36.103665833333366,84.06813888888888,4.009555555555555,18.904527777777776,Historical
YO11,High,2872.295032,37.93844,-119.23157,54.40552777777778,201.73401500000003,66.81263888888888,-4.635388888888889,9.730027777777778,Historical
YO4,High,2157.57391,37.76378,-119.77244,53.227666666666664,151.18393611111122,94.61897111111111,1.1314166666666665,13.647083333333333,Historical
YO7,High,2469.978665,37.80903,-119.56605,50.51886111111111,266.5000913888889,101.12530472222222,-1.9026944444444442,11.690388888888888,Historical
YO8,High,2590.97836,37.81117,-119.48624,64.94433333333333,280.94200916666654,100.2979438888889,-2.5960833333333335,11.306388888888888,Historical
