rowid,parent.pop,phylogroup,Lat,Long,elev_m,year,month,aet,cwd,pck,pet,ppt,tmn,tmx
1,BH,4,37.40985,-119.96458,511.4294422,1904,oct,11.51,77.29,0,88.8,75.59,8.83,24.42
1,BH,4,37.40985,-119.96458,511.4294422,1904,sep,12.07,122.43,0,134.5,83.36,13.83,31.71
1,BH,4,37.40985,-119.96458,511.4294422,1905,apr,47.92,71.88,0,119.8,27.91,4.98,21.73
1,BH,4,37.40985,-119.96458,511.4294422,1905,aug,40.3,139.4,0,179.7,0,15.48,35.78
1,BH,4,37.40985,-119.96458,511.4294422,1905,dec,1.91,29.39,0,31.3,29.79,-0.86,13.58
1,BH,4,37.40985,-119.96458,511.4294422,1905,feb,6.49,42.81,0,49.3,78.47,3.41,16.41
1,BH,4,37.40985,-119.96458,511.4294422,1905,jan,5.2,30.4,0,35.6,75.45,2.92,14.79
1,BH,4,37.40985,-119.96458,511.4294422,1905,jul,79.86,125.34,0,205.2,0,15.09,36.8
1,BH,4,37.40985,-119.96458,511.4294422,1905,jun,89.71,95.59,0,185.3,0,11.14,31.15
1,BH,4,37.40985,-119.96458,511.4294422,1905,mar,31.85,52.05,0,83.9,120.6,4.77,17.46
1,BH,4,37.40985,-119.96458,511.4294422,1905,may,144.8,12.3,0,157.1,57.74,7.28,23.25
1,BH,4,37.40985,-119.96458,511.4294422,1905,nov,0.95,45.25,0,46.2,47.54,2.28,18.58
1,BH,4,37.40985,-119.96458,511.4294422,1905,oct,1.87,85.43,0,87.3,0,5.55,25.94
1,BH,4,37.40985,-119.96458,511.4294422,1905,sep,9.9,123.6,0,133.5,0.33,12.7,31.86
1,BH,4,37.40985,-119.96458,511.4294422,1906,apr,78.67,39.33,0,118,54.95,5.94,19.41
1,BH,4,37.40985,-119.96458,511.4294422,1906,aug,26.76,152.74,0,179.5,0,15.15,35.96
1,BH,4,37.40985,-119.96458,511.4294422,1906,dec,2.17,30.43,0,32.6,196.47,2.44,13.13
1,BH,4,37.40985,-119.96458,511.4294422,1906,feb,10.98,39.32,0,50.3,109.34,5.37,15.95
1,BH,4,37.40985,-119.96458,511.4294422,1906,jan,5.99,29.61,0,35.6,203.36,2.36,15.32
1,BH,4,37.40985,-119.96458,511.4294422,1906,jul,72.58,134.42,0,207,0,14.47,38.74
1,BH,4,37.40985,-119.96458,511.4294422,1906,jun,146.35,34.25,0,180.6,11.45,10.05,29.17
1,BH,4,37.40985,-119.96458,511.4294422,1906,mar,41.12,40.88,0,82,271.27,4.11,16.19
1,BH,4,37.40985,-119.96458,511.4294422,1906,may,144.72,12.38,0,157.1,70.15,7.58,22.9
1,BH,4,37.40985,-119.96458,511.4294422,1906,nov,0.39,45.11,0,45.5,29.4,2.18,17.43
1,BH,4,37.40985,-119.96458,511.4294422,1906,oct,0.83,90.07,0,90.9,0,7.84,27.9
1,BH,4,37.40985,-119.96458,511.4294422,1906,sep,4.17,129.73,0,133.9,0.9,12.54,32.41
1,BH,4,37.40985,-119.96458,511.4294422,1907,apr,49.82,72.68,0,122.5,28.32,7.23,21.59
