parent.pop,elevation.group,elev_m,ann_tmean,mean_diurnal_range,temp_seasonality,temp_ann_range,tmean_wettest_month,tmean_driest_month,ann_ppt,ppt_seasonality,ppt_warmest_month,ppt_coldest_month,TimePd
WL1,Mid,1613.837245,13.699208333333333,13.621083333333333,6.459537841353965,30.693666666666665,4.945,19.672777777777778,544.8643266666667,131.99524900493182,1.8966666666666667,258.45499333333333,Recent
WL2,High,2020.115818,11.832619047619048,12.508380952380953,6.879229159955182,29.807,2.828333333333333,17.575,481.15399333333335,136.17303413039923,4.592666666666666,259.32966,Recent
WR,Mid,1158,15.297166666666666,12.582777777777778,6.570274693522382,30.088666666666665,7.200833333333334,22.254833333333334,836.7729866666667,131.5916079297367,0.385,367.8496533333333,Recent
WV,Mid,748.8570558,14.488259259259259,15.523777777777777,6.8623040287319945,33.36966666666667,5.812166666666666,21.298333333333332,550.6316633333333,130.3267840253923,4.796,240.08766333333332,Recent
YO11,High,2872.295032,8.772133333333333,13.671733333333334,6.038633253176796,27.440333333333335,2.935833333333333,11.5055,156.69933333333333,99.88624016544141,13.918333333333333,88.19,Recent
YO4,High,2157.57391,11.791785714285714,12.262714285714285,6.62803609927346,29.111333333333334,2.7566666666666664,16.593583333333335,401.08366666666666,143.08442897841277,3.474666666666667,226.31566666666666,Recent
YO7,High,2469.978665,8.843361111111111,13.495166666666666,7.085055212869582,30.466666666666665,0.11583333333333332,13.769333333333334,423.04133,133.13139217651727,6.392666666666667,246.43899666666667,Recent
YO8,High,2590.97836,8.368222222222222,13.542222222222222,7.1141468229433995,30.573666666666668,-0.41450000000000004,13.4425,420.88533,132.14108081139534,7.24,244.58499666666665,Recent
BH,Low,511.4294422,11.966770833333333,13.718625,5.267276411768802,29.984666666666666,8.7635,18.492833333333333,533.05,98.001538008543,5.730333333333333,181.84233333333333,Historical
CC,Low,313,12.6456875,12.574791666666666,5.2630374707181025,28.586666666666666,9.226833333333333,19.578,899.2330000000001,94.98272184039115,12.721,301.57099999999997,Historical
CP2,High,2244.132886,10.816033333333333,13.655666666666667,5.721684001644705,26.739333333333335,4.324333333333334,14.5915,345.1913333333333,117.54371997415709,14.180666666666667,206.42066666666668,Historical
CP3,High,2266.382201,10.1811,13.277933333333333,5.726855363173397,26.442666666666668,3.7015,13.848333333333333,335.69466666666665,115.96685115982994,15.26,198.72333333333333,Historical
DPR,Mid,1018.591893,15.115722222222223,14.195962962962962,6.310157336590807,31.28933333333333,7.9685,22.044833333333333,742.4379933333333,129.68257879923254,2.4046666666666665,314.41099333333335,Historical
FR,Mid,787,14.559814814814814,16.81237037037037,6.530994496081622,34.20433333333333,6.3341666666666665,21.390583333333336,519.9873333333334,126.43004972851912,2.5243333333333333,223.20066666666668,Historical
IH,Low,454.1298385,13.964883333333333,13.780766666666667,6.907881449357061,32.92466666666667,7.903,22.786166666666666,979.3639933333334,114.0839478399872,1.571,322.1373266666667,Historical
LV1,High,2593.416641,6.3605,15.049666666666667,5.649662598896279,27.218,1.2328333333333332,10.8185,507.42532,109.75624380467994,24.563666666666666,312.69465333333335,Historical
LV3,High,2353.550747,6.346583333333333,15.0935,5.6337000275676505,27.223,1.232,10.7905,500.04399333333333,109.69752106750015,24.068666666666665,308.2589933333333,Historical
LVTR1,High,2741.38982,6.1879583333333334,15.069583333333334,5.607031027857103,27.136666666666667,1.401,10.61,530.1399866666667,109.64329570131352,26.356333333333332,326.25832,Historical
SC,Low,421.5178299,12.053395833333333,13.388125,5.091993366861791,29.273,8.990833333333333,18.99525,680.1813333333333,90.86484994986729,8.025333333333334,213.60433333333333,Historical
SQ1,Mid,1921.036585,11.357714285714286,12.721047619047619,6.422918414901211,28.975,3.679666666666667,14.972833333333334,373.45166333333333,130.50310899663717,7.85,189.23433,Historical
SQ2,Mid,1934.45122,11.371428571428572,12.632190476190477,6.317510547732163,28.704666666666665,3.762666666666667,15.061833333333334,385.943,131.14571969969805,8.561666666666666,195.606,Historical
SQ3,High,2373.170732,8.96861111111111,12.046000000000001,6.567722261224777,27.900666666666666,1.911,13.033,411.37333,122.85776870053023,9.263,215.14666333333335,Historical
TM2,Low,379.1526973,12.223520833333334,12.513041666666666,5.232694407136076,28.38,8.6995,19.405666666666665,1007.27233,94.80300853085933,14.676333333333334,338.81099666666665,Historical
WL1,Mid,1613.837245,12.749642857142858,14.364142857142857,6.660345436287153,30.999,5.371,18.955805555555557,499.7859966666667,123.4874901541525,4.05,236.95833000000002,Historical
WL2,High,2020.115818,10.522119047619046,13.227380952380953,6.552889607252492,29.839333333333332,2.700833333333333,15.6995,534.79133,117.34944359191694,9.264333333333333,246.56932999999998,Historical
WR,Mid,1158,14.699958333333333,14.214,6.365204426642491,30.956,6.818,21.284916666666668,714.44832,134.7151746804207,3.1496666666666666,341.1076566666667,Historical
WV,Mid,748.8570558,14.271416666666667,16.36725,6.972909814786155,33.939,5.637666666666667,20.351833333333335,496.3546666666667,129.52498707094855,7.011333333333333,232.35166666666666,Historical
YO11,High,2872.295032,7.1356,14.9624,5.750283290350552,28.137333333333334,1.445,9.0975,210.58966666666666,105.86680460213778,18.25166666666667,116.53033333333333,Historical
YO4,High,2157.57391,10.406785714285714,12.93757142857143,6.491321683900684,29.557,2.9288333333333334,15.500583333333333,449.45999666666665,123.88419494771468,6.313666666666666,211.55233,Historical
YO7,High,2469.978665,9.4649,14.0606,5.68565859232418,27.4,2.958,12.857916666666666,276.24966666666666,122.00009837054185,12.58,169.08866666666665,Historical
YO8,High,2590.97836,8.9247,14.3598,5.693635183350041,27.704,2.402833333333333,12.086166666666667,274.4463333333333,120.87759232198707,12.997,167.01633333333334,Historical
