parent.pop,elevation.group,elev_m,Lat,Long,TimePd,GrwSsn_GD,GrwSsn_FLINT_GD,GrwSsn_BIOCLIM_GD,Wtr_Year_GD,Wtr_Year_FLINT_GD,Wtr_Year_BIOCLIM_GD
YO4,High,2157.57391,37.76378,-119.77244,Recent,0.33661189634132965,0.3048954438335068,0.34929847734445874,0.5396813988188448,0.43085108934810246,0.5940965535542161
SQ3,High,2373.170732,36.72109,-118.84933,Recent,0.3827274245843708,0.33255735611570025,0.4027954519718391,0.5146283017384257,0.43370372788575823,0.5550905886647594
SC,Low,421.5178299,38.41167,-120.73583000000001,Recent,0.40231892535052977,0.42839909730198694,0.391886856569947,0.19208256358582085,0.05094854455223478,0.2626495731026139
CP2,High,2244.132886,38.66169,-120.13065,Recent,0.4220349763643145,0.4083955038250155,0.427490765380034,0.6006224071334514,0.5066155547192919,0.6476258333405311
YO7,High,2469.978665,37.80903,-119.56605,Recent,0.4596776376561274,0.523769806793982,0.4340407700009856,0.5787871938125694,0.5749056097581988,0.5807279858397546
YO8,High,2590.97836,37.81117,-119.48624,Recent,0.4667175486955678,0.4953189595237443,0.4552769843642973,0.5717606004444454,0.5376930427612662,0.5887943792860351
LV1,High,2593.416641,40.47471,-121.50486,Recent,0.47803637115374453,0.49395908771396113,0.4716672845296579,0.7914463879187819,0.8046424232427771,0.7848483702567842
CP3,High,2266.382201,38.70649,-120.08797,Recent,0.4838182023156495,0.5191225923500773,0.4696964463018784,0.6359000063134276,0.5914769238779892,0.6581115475311468
LVTR1,High,2741.38982,40.47917,-121.5032,Recent,0.4878916190475065,0.4821135630940381,0.4902028414288938,0.8012927696235348,0.8157091072223154,0.7940846008241446
LV3,High,2353.550747,40.47917,-121.52311,Recent,0.4943449111968593,0.5427446315168907,0.4749850230688467,0.7954912954208724,0.8310002997037818,0.7777367932794178
TM2,Low,379.1526973,39.59255,-121.55072,Recent,0.5458020135197627,0.5463370677891867,0.5455879918119932,0.3053494140449003,0.1838651484594004,0.3660915468376503
YO11,High,2872.295032,37.93844,-119.23157,Recent,0.6131117079211087,0.526788333866459,0.6476410575429687,0.5788534126485474,0.5492266202382559,0.5936668088536934
DPR,Mid,1018.591893,39.22846,-120.81518,Historical,0.1666014958380222,0.29645128419147615,0.11466158049664056,0.44225066919664874,0.3964742506568253,0.46513887846656066
WR,Mid,1158,39.34346,-120.80659,Historical,0.1763863651285267,0.24984606611510143,0.14700248473389685,0.4829102645296462,0.40499582227361586,0.5218674856576614
FR,Mid,787,40.01362,-121.18498,Historical,0.20948560067700503,0.11347195199563292,0.2478910601495539,0.3810693290179083,0.1683546790696163,0.4874266539920544
WL1,Mid,1613.837245,38.78608,-120.2143,Historical,0.24179018632613883,0.2384483286440656,0.2431269293989681,0.4585796318884349,0.3707388658668873,0.5025000148992088
WV,Mid,748.8570558,40.74084,-123.00364,Historical,0.25142351990946943,0.16168574287946152,0.28731863072147257,0.4411297526420386,0.316722539750574,0.503333359087771
IH,Low,454.1298385,39.09332,-120.92114,Historical,0.25266640450013367,0.34996958500300956,0.21374513229898331,0.2930394196667525,0.18555940586316425,0.3467794265685467
BH,Low,511.4294422,37.40985,-119.96458,Historical,0.33554162637601165,0.3289436077110706,0.3381808338419881,0.23216986351302016,0.06050692095968826,0.3180013347896862
