parent.pop,elevation.group,elev_m,ppt_dist,cwd_dist,tmn_dist,tmx_dist,ann_tmean_dist,mean_diurnal_range_dist,temp_seasonality_dist,temp_ann_range_dist,tmean_wettest_month_dist,tmean_driest_month_dist,ann_ppt_dist,ppt_seasonality_dist,ppt_warmest_month_dist,ppt_coldest_month_dist
SC,Low,421.5178299,-32.82238095238094,11.91657142857143,-0.02861904761904821,-2.0443333333333342,-1.0364761904761899,-2.015714285714285,1.4409026517469927,-1.2473333333333336,-5.070666666666668,-0.28216666666666157,-291.24,-10.02776432953813,-8.145666666666665,-91.77366666666663
SQ1,Mid,1921.036585,16.326917083333335,-35.40104166666668,-0.28829166666666683,-2.121416666666665,-1.2048541666666672,-1.8331249999999972,0.09747672741222857,-3.4393333333333374,-0.695333333333334,2.873750000000001,7.648669999999981,-50.81606975041318,-5.7796666666666665,-28.35333
SQ2,Mid,1934.45122,14.780999999999999,-14.122190476190475,-0.4544285714285712,-2.4247619047619047,-1.4395952380952384,-1.9703333333333344,-0.21683070480803313,-3.420333333333332,-1.0918333333333337,3.2319166666666668,41.983666666666636,-56.43259587433177,-5.25,-31.275666666666666
SQ3,High,2373.170732,10.673905238095237,-23.151904761904753,1.5999999999999996,-0.26866666666666816,0.6656666666666684,-1.868666666666666,-0.03381757242556116,-3.0070000000000014,0.8324999999999996,5.4815000000000005,13.234003333333305,-55.13221359657949,-6.442,-46.60866333333334
TM2,Low,379.1526973,-70.50995791666666,23.545541666666672,-0.8252083333333333,-1.9722083333333345,-1.3987083333333317,-1.1470000000000002,1.5367345498189762,-0.5946666666666651,-4.794833333333333,0.3211666666666666,-687.04633,-7.405811853525691,-15.366,-206.85799666666665
WL1,Mid,1613.837245,-6.6247074999999995,-13.537916666666668,-0.5953333333333335,-3.6780833333333334,-2.136708333333331,-3.082749999999997,0.12002578399384323,-4.263666666666666,-1.3450000000000006,-0.08777777777777374,-175.9643266666667,-43.96793067674447,-1.8866666666666667,-102.24499333333333
WL2,High,2020.115818,-7.252951428571436,-9.375714285714288,0.7149047619047613,-1.2551428571428573,-0.2701190476190476,-1.9700476190476177,-0.29966553460737355,-3.376999999999999,0.7716666666666665,2.0100000000000016,-112.25399333333337,-48.14571580221188,-4.5826666666666664,-103.11965999999998
WR,Mid,1158,-31.491442962962964,1.6082222222222242,-2.7124444444444453,-4.756888888888888,-3.7346666666666657,-2.0444444444444443,0.009288931825426339,-3.658666666666665,-3.600833333333334,-2.6698333333333366,-467.87298666666675,-43.56428960154936,-0.375,-211.6396533333333
WV,Mid,748.8570558,0.30203740740741125,-0.8188888888888854,-0.4330370370370371,-5.418481481481482,-2.9257592592592605,-4.9854444444444415,-0.28274040338418605,-6.9396666666666675,-2.2121666666666666,-1.7133333333333312,-181.73166333333336,-42.29946569720495,-4.7860000000000005,-83.87766333333332
YO11,High,2872.295032,30.143466666666665,-21.82893333333333,4.357066666666666,1.2236666666666665,2.7903666666666673,-3.1334,0.5409303721710126,-1.0103333333333353,0.6641666666666666,8.079500000000001,212.20066666666665,-11.858921837254044,-13.908333333333331,68.02000000000001
YO4,High,2157.57391,4.18566666666667,-11.850809523809524,0.6329047619047614,-1.0914761904761896,-0.2292857142857141,-1.7243809523809492,-0.048472473925651904,-2.6813333333333347,0.8433333333333333,2.991416666666666,-32.18366666666668,-55.057110650225425,-3.464666666666667,-70.10566666666662
YO7,High,2469.978665,-9.023555000000002,-10.23338888888889,4.197555555555555,1.2407222222222227,2.7191388888888888,-2.956833333333332,-0.5054915875217736,-4.036666666666665,3.4841666666666664,5.815666666666667,-54.14133000000004,-45.10407384832992,-6.382666666666667,-90.22899666666666
