parent.pop,elevation.group,elev_m,Lat,Long,ann_tmean,mean_diurnal_range,temp_seasonality,temp_ann_range,tmean_wettest_quarter,tmean_driest_quarter,ann_ppt,ppt_seasonality,ppt_warmest_quarter,ppt_coldest_quarter,TimePd
SQ3,High,2373.170732,36.72109,-118.84933,7.427972222222222,12.318888888888889,689.1696297279689,31.751333333333335,1.47,10.08438888888889,1040.7333166666667,126.09030357910395,100.95166666666667,563.52799,Recent
TM2,Low,379.1526973,39.59255,-121.55072,16.349166666666665,12.916444444444444,673.8272655071243,31.704,10.009166666666667,19.335833333333333,1141.0579966666667,127.23012574228743,92.92166666666667,630.1029966666666,Recent
WL1,Mid,1613.837245,38.78608,-120.2143,10.835861111111111,12.663666666666666,683.0397286655531,31.658666666666665,5.155555555555556,13.669055555555556,1293.52464,117.11132490039861,119.158,661.3146466666667,Recent
WL2,High,2020.115818,38.8263,-120.25242,8.577819444444444,11.851083333333333,687.2954863155147,31.001333333333335,2.926888888888889,11.491111111111111,1301.38031,114.45057915829824,125.07933333333334,657.9689833333333,Recent
WR,Mid,1158,39.34346,-120.80659,13.106375,11.868694444444445,699.6774604443898,31.156333333333333,6.6034444444444444,16.310833333333335,1625.8526299999999,123.30048667292152,147.99266666666665,868.9392966666667,Recent
WV,Mid,748.8570558,40.74084,-123.00364,12.262430555555556,14.14925,721.5596580660351,34.312,5.840277777777778,15.2905,1038.4319966666667,118.32377577611463,87.15233333333333,558.40733,Recent
YO11,High,2872.295032,37.93844,-119.23157,3.927277777777778,12.920555555555556,690.656222371842,32.376666666666665,-1.4459444444444445,6.531722222222222,823.7979966666667,115.60210622330575,87.903,442.30099666666666,Recent
YO4,High,2157.57391,37.76378,-119.77244,8.579541666666668,11.808305555555556,670.9690892199086,30.546333333333333,2.5176666666666665,11.219777777777777,1142.5523166666667,124.19520174343397,101.386,618.4099866666667,Recent
YO7,High,2469.978665,37.80903,-119.56605,6.0164583333333335,13.218083333333333,662.5377980208652,31.858,0.14116666666666663,8.47011111111111,1199.63598,123.256321346492,111.31333333333333,656.99665,Recent
YO8,High,2590.97836,37.81117,-119.48624,5.535027777777778,13.3015,665.5300927892628,32.002,-0.3757777777777779,7.998277777777778,1188.5396466666666,123.16254982239016,110.27433333333333,653.80165,Recent
BH,Low,511.4294422,37.40985,-119.96458,15.377555555555556,15.183555555555555,685.7663265701378,34.34766666666667,9.369388888888889,19.183833333333332,580.7443333333333,118.78123084276457,65.78733333333334,287.8233333333333,Historical
CC,Low,313,39.58597,-121.43311,15.927625,14.03363888888889,670.2666595397986,32.88733333333333,9.68,19.148333333333333,983.8743333333333,116.89894602214628,98.41233333333334,503.69100000000003,Historical
CP2,High,2244.132886,38.66169,-120.13065,6.149277777777778,12.788722222222223,663.253663267344,31.679666666666666,0.6692777777777777,9.632166666666667,1316.73732,104.38288139687056,161.05133333333333,622.9689866666666,Historical
CP3,High,2266.382201,38.70649,-120.08797,5.497472222222222,12.581388888888888,664.297394052338,31.549,0.019500000000000035,8.98938888888889,1269.31033,103.3404322615283,154.74733333333333,595.7119966666667,Historical
DPR,Mid,1018.591893,39.22846,-120.81518,12.994819444444444,13.446638888888888,671.9700779341514,32.08833333333333,6.838666666666667,16.53238888888889,1441.48431,115.9575500559101,150.16566666666668,729.45199,Historical
FR,Mid,787,40.01362,-121.18498,12.36225,15.542555555555555,698.2936269698722,35.102666666666664,5.903611111111111,15.949166666666667,1010.5696633333333,114.32359045012542,97.99333333333334,519.9229966666667,Historical
IH,Low,454.1298385,39.09332,-120.92114,14.784152777777779,14.14875,662.0715723261928,32.73266666666667,8.460833333333333,17.99116666666667,1053.53866,116.43679067514218,109.41466666666666,532.1563266666667,Historical
LV1,High,2593.416641,40.47471,-121.50486,3.436472222222222,13.795277777777779,647.8422744187353,33.00266666666666,-1.3296666666666666,6.671666666666667,1789.1076233333333,102.18139539743741,229.827,760.1939766666667,Historical
LV3,High,2353.550747,40.47917,-121.52311,3.439875,13.813583333333334,645.3852569696444,32.982,-1.3085,6.660333333333333,1754.1219633333333,101.88812284624787,225.74799666666667,740.2049800000001,Historical
LVTR1,High,2741.38982,40.47917,-121.5032,3.293361111111111,13.792944444444444,644.9473393684851,33.026666666666664,-1.4475555555555557,6.480722222222222,1852.7079566666666,102.07883228158985,229.25633,781.2996466666666,Historical
SC,Low,421.5178299,38.41167,-120.73583000000001,15.292861111111112,14.928166666666666,654.0679652786253,33.404333333333334,9.132666666666667,18.41788888888889,740.5783333333334,114.51412862053499,84.60766666666666,366.43833333333333,Historical
SQ1,Mid,1921.036585,36.56435,-118.7764,8.299319444444444,12.243305555555555,652.2855582272113,30.685333333333332,3.0005,11.664166666666667,1009.0649833333333,116.40532990613313,117.991,510.05232,Historical
