parent.pop,elevation.group,elev_m,Lat,Long,Gowers_Dist,bias,std.error,conf.low,conf.high,TimePd
CP2,High,2244.132886,38.66169,-120.13065,0.6476258333405311,-0.001633268277985822,0.015320445104824838,0.6192315809859373,0.6792866222510966,Recent
CP3,High,2266.382201,38.70649,-120.08797,0.6581115475311468,-0.0016680379243440013,0.015367083480903689,0.6296606552854991,0.6898985156254824,Recent
LV3,High,2353.550747,40.47917,-121.52311,0.7777367932794178,-8.583517579690003e-4,0.013398815449964071,0.7523339493199583,0.8048563407548153,Recent
LV1,High,2593.416641,40.47471,-121.50486,0.7848483702567842,-8.202532045837874e-4,0.013290354442092589,0.7596200074130947,0.8117172395096414,Recent
LVTR1,High,2741.38982,40.47917,-121.5032,0.7940846008241446,0.0013172329855858367,0.01277693818152661,0.7677250291700719,0.8178097065070455,Recent
SC,Low,421.5178299,38.41167,-120.73583000000001,0.31258370288284265,8.66870507061468e-4,0.011018895472141924,0.29012019410097156,0.3333134706505908,Historical
BH,Low,511.4294422,37.40985,-119.96458,0.3180013347896862,3.134232781215607e-5,0.01333480599151328,0.29183425297767907,0.34410573194606897,Historical
CC,Low,313,39.58597,-121.43311,0.3206372898480424,-8.670506596698546e-4,0.009163727032721612,0.3035437655594218,0.3394649154560027,Historical
TM2,Low,379.1526973,39.59255,-121.55072,0.33964897620327233,-5.861855981629249e-4,0.010194306267032938,0.32025468867067974,0.3602156349321908,Historical
IH,Low,454.1298385,39.09332,-120.92114,0.3467794265685467,-0.00312591120769512,0.014061376443990818,0.3223455463729599,0.37746512917952374,Historical
DPR,Mid,1018.591893,39.22846,-120.81518,0.46513887846656066,-3.017545188922499e-4,0.01638030620436213,0.43333582276916516,0.49754544320174066,Historical
FR,Mid,787,40.01362,-121.18498,0.4874266539920544,-0.0043620933598017,0.012649450763511405,0.46699627943116107,0.5165812152725512,Historical
WL1,Mid,1613.837245,38.78608,-120.2143,0.5025000148992088,-0.002577964901038232,0.015597610077348566,0.4745072258037449,0.5356487337967493,Historical
WV,Mid,748.8570558,40.74084,-123.00364,0.503333359087771,-0.003846556957504965,0.012320130221872724,0.4830329045255619,0.5313269275649899,Historical
WR,Mid,1158,39.34346,-120.80659,0.5218674856576614,-5.032280235242048e-4,0.01702083872597766,0.48901048279160475,0.5557309445707664,Historical
SQ1,Mid,1921.036585,36.56435,-118.7764,0.5283535541750807,-0.003547376810049574,0.023028160447389208,0.4867665658780376,0.5770352960922228,Historical
SQ2,Mid,1934.45122,36.66557,-118.83543,0.5284662265023105,-0.0035177420421032,0.023158467000062598,0.48659420728713165,0.5773737298016957,Historical
YO4,High,2157.57391,37.76378,-119.77244,0.5553802944269691,-0.003883807664707639,0.023205329164330775,0.5137824926801915,0.604745711503162,Historical
YO7,High,2469.978665,37.80903,-119.56605,0.5813367653687308,3.8491080962210766e-5,0.019005733179029552,0.5440477217570927,0.6185488268184445,Historical
YO8,High,2590.97836,37.81117,-119.48624,0.5855141618307019,-0.0011842989401306125,0.01623685462336289,0.5548748104868286,0.6185221110548365,Historical
YO11,High,2872.295032,37.93844,-119.23157,0.5886092217677674,-0.003035251207550216,0.013580464110536079,0.5650272524253281,0.6182616935253071,Historical
SQ3,High,2373.170732,36.72109,-118.84933,0.596805720867745,-0.0034363653864736277,0.02306162141149925,0.5550421388625824,0.6454420336458548,Historical
WL2,High,2020.115818,38.8263,-120.25242,0.5979890424697517,-0.004349325982056507,0.01876076086388306,0.5655679528360289,0.6391087840675875,Historical
CP2,High,2244.132886,38.66169,-120.13065,0.6308293948320947,-0.004269047918560864,0.019810402403801178,0.5962707675199596,0.6739261179813515,Historical
CP3,High,2266.382201,38.70649,-120.08797,0.6456870422144247,-0.0046828100983227205,0.020084254202548703,0.6110054374194048,0.6897342672060901,Historical
LV3,High,2353.550747,40.47917,-121.52311,0.7519801858087436,-0.005761576671925339,0.01374383612927829,0.7308043386578631,0.7846791863034748,Historical
LV1,High,2593.416641,40.47471,-121.50486,0.7607347342101107,-0.005884983573700708,0.013940436799747685,0.7392969637275492,0.7939424718400737,Historical
LVTR1,High,2741.38982,40.47917,-121.5032,0.7737195890674546,-0.006044924476471536,0.014819333670060832,0.7507191532757251,0.8088098738121272,Historical
