parent.pop,elevation.group,elev_m,Lat,Long,year,cwd,pck,ppt,tmn,tmx,ann_tmean,mean_diurnal_range,temp_seasonality,temp_ann_range,tmean_wettest_quarter,tmean_driest_quarter,ann_ppt,ppt_seasonality,ppt_warmest_quarter,ppt_coldest_quarter
LV1,High,2593.416641,40.47471,-121.50486,2015,52.39333333333333,259.9458166666667,112.075,0.6441666666666666,12.695833333333333,6.67,12.051666666666668,563.4772722689322,25.93,0.8033333333333331,9.863333333333332,1344.8999999999999,142.80050184006484,130.17000000000002,767.37
LV1,High,2593.416641,40.47471,-121.50486,2016,50.079166666666666,533.4974583333333,204.54749166666667,-0.5308333333333333,11.015833333333333,5.2425,11.546666666666667,663.9314552517657,30.33,-1.8500000000000003,10.351666666666667,2454.5699,104.44531125984706,96.00999999999999,1017.4000000000001
LV1,High,2593.416641,40.47471,-121.50486,2017,50.98916666666667,768.6124416666667,212.055825,-0.64,11.416666666666668,5.388333333333334,12.056666666666667,745.7829727368696,32.99,-3.431666666666667,9.916666666666666,2544.6699000000003,102.39079958080231,312.02,1566.2499
LV1,High,2593.416641,40.47471,-121.50486,2018,51.6075,281.60999166666664,122.7775,-0.7383333333333335,11.813333333333333,5.5375,12.551666666666666,649.2764679381055,32.4,2.575,3.9233333333333333,1473.33,126.4649193564703,211.75,264.31
LV1,High,2593.416641,40.47471,-121.50486,2019,46.04083333333333,515.216625,179.50249166666666,-1.3249999999999997,10.414166666666667,4.544583333333333,11.739166666666666,670.4932871446669,32.13,-3.171666666666667,6.080000000000001,2154.0299,95.58647497727156,235.62,1172.9599
LV1,High,2593.416641,40.47471,-121.50486,2020,52.275000000000006,230.61663333333337,93.27166666666668,-0.10083333333333372,12.439166666666667,6.1691666666666665,12.54,700.471816100773,30.490000000000002,-1.5033333333333332,8.636666666666667,1119.2599999999998,126.47557768218812,66.39,556.74
LV1,High,2593.416641,40.47471,-121.50486,2021,55.1225,158.46665833333333,95.43333333333334,-0.6483333333333339,12.228333333333332,5.79,12.876666666666667,753.6432119438819,32.12,6.025000000000001,10.876666666666665,1145.1999999999998,112.16351161150773,86.98,421.94
LV1,High,2593.416641,40.47471,-121.50486,2022,53.528333333333336,166.78,78.3025,-0.625,12.1925,5.7837499999999995,12.8175,667.141123308323,30.959999999999997,4.695,4.531666666666666,939.63,131.87084123032554,241.86,413.48
LV1,High,2593.416641,40.47471,-121.50486,2023,49.997499999999995,706.9991083333332,169.758325,-2.4333333333333336,9.668333333333333,3.6174999999999997,12.101666666666667,739.3862165828677,32.81,-3.878333333333334,8.06,2037.0999,118.03365512457107,101.86000000000001,1073.02
LV1,High,2593.416641,40.47471,-121.50486,2024,52.25833333333333,410.6849666666667,129.99,-0.7916666666666664,11.495833333333334,5.352083333333334,12.2875,691.0479347382934,32.53,-1.9733333333333334,9.196666666666665,1559.88,107.92833733940037,348.27,900.94
LV3,High,2353.550747,40.47917,-121.52311,1995,37.964166666666664,887.2282583333333,214.16749166666668,-2.950833333333333,9.579166666666667,3.3141666666666665,12.53,680.7039749517785,31.19,-0.8966666666666666,3.9,2570.0099,117.16166770672875,339,1026.64
LV3,High,2353.550747,40.47917,-121.52311,1996,38.095,483.316625,167.47833333333335,-1.520833333333333,11.364166666666666,4.921666666666667,12.885,635.5337532461605,30.240000000000002,-1.97,5.736666666666667,2009.7400000000005,88.23216702218134,249.01,1093.3899999999999
LV3,High,2353.550747,40.47917,-121.52311,1997,36.66916666666667,754.1607750000001,200.54749166666667,-1.913333333333333,10.900833333333333,4.49375,12.814166666666667,560.2067445068018,28.81,-2.2483333333333335,7.423333333333335,2406.5699000000004,133.62107168234195,236.76,1487.5999000000002
LV3,High,2353.550747,40.47917,-121.52311,1998,34.25333333333333,790.4732583333333,211.54999999999998,-2.455,9.320833333333333,3.432916666666667,11.775833333333333,683.5350446004722,32.19,-3.918333333333333,8.408333333333333,2538.6,85.71977444455858,164.38000000000002,1156.46
LV3,High,2353.550747,40.47917,-121.52311,1999,39.57083333333333,656.3116166666666,156.7108333333333,-2.7983333333333333,10.613333333333333,3.9074999999999998,13.411666666666667,675.0747601697028,31.53,-3.3083333333333336,8.268333333333333,1880.53,101.2399975949251,147.34,778.44
LV3,High,2353.550747,40.47917,-121.52311,2000,42.93166666666667,341.3074916666667,143.99,-1.4433333333333331,11.38,4.968333333333334,12.823333333333334,609.6990812662996,30.72,-2.453333333333333,8.361666666666666,1727.88,102.64592294195583,185.61,909.3
LV3,High,2353.550747,40.47917,-121.52311,2001,43.61416666666666,189.9474833333333,87.9775,-1.7158333333333338,11.538333333333332,4.91125,13.254166666666666,728.4602729855499,33.34,-3.296666666666667,8.625,1055.7300000000002,79.96356105733724,199.83,460.15
LV3,High,2353.550747,40.47917,-121.52311,2002,41.4775,440.3358,121.67916666666666,-1.6150000000000002,11.3575,4.87125,12.9725,700.1416780325121,33.49,-2.981666666666667,9.691666666666666,1460.15,122.64113126738975,97.38,742.65
