parent.pop,elevation.group,elev_m,Lat,Long,cwd,pck,ppt,tmn,tmx,TimePd
CC,Low,313,39.58597,-121.43311,59.649,0.07925000000000022,81.9725,8.900305555555555,22.92802777777778,Historical
CP2,High,2244.132886,38.66169,-120.13065,60.40163888888889,265.3319819444445,110.45008222222222,-0.30269444444444493,12.521138888888888,Historical
CP3,High,2266.382201,38.70649,-120.08797,43.79508333333333,282.4348438888889,106.52394416666667,-0.8497222222222224,11.76836111111111,Historical
DPR,Mid,1018.591893,39.22846,-120.81518,26.44977777777778,20.473110833333322,120.6903036111111,6.226805555555556,19.68177777777778,Historical
FR,Mid,787,40.01362,-121.18498,73.97694444444444,19.213555555555555,84.29633305555555,4.545055555555556,20.100666666666665,Historical
IH,Low,454.1298385,39.09332,-120.92114,50.222833333333334,1.4716388888888878,88.16244388888889,7.684027777777778,21.82361111111111,Historical
LV1,High,2593.416641,40.47471,-121.50486,46.60786111111111,510.9159027777778,149.67388527777777,-3.481888888888889,10.297027777777778,Historical
LV3,High,2353.550747,40.47917,-121.52311,38.0055,503.5925966666666,146.76921916666666,-3.4875833333333333,10.310055555555556,Historical
LVTR1,High,2741.38982,40.47917,-121.5032,49.25194444444444,529.7280158333334,155.02632972222221,-3.627361111111111,10.151833333333334,Historical
SC,Low,421.5178299,38.41167,-120.73583000000001,72.71738888888889,0.049777777777777685,61.843916666666665,7.790694444444444,22.73511111111111,Historical
SQ1,Mid,1921.036585,36.56435,-118.7764,68.61222222222223,82.83135805555554,84.03158194444444,2.1141944444444447,14.392833333333334,Historical
SQ2,Mid,1934.45122,36.66557,-118.83543,51.96611111111111,86.87388583333323,86.28411055555556,2.0229166666666667,14.359972222222222,Historical
SQ3,High,2373.170732,36.72109,-118.84933,55.98994444444445,169.7941847222223,94.02813833333333,-0.034833333333333466,12.156305555555555,Historical
TM2,Low,379.1526973,39.59255,-121.55072,52.67797222222222,0.45561111111111147,91.79924972222223,8.539861111111112,22.46997222222222,Historical
WL1,Mid,1613.837245,38.78608,-120.2143,55.72763888888889,78.35049833333336,102.13199888888889,2.9776944444444444,16.441388888888888,Historical
WL2,High,2020.115818,38.8263,-120.25242,50.563694444444444,178.52846083333338,104.89911027777778,1.121472222222222,13.7545,Historical
WR,Mid,1158,39.34346,-120.80659,42.130944444444445,49.59730527777778,133.6603027777778,5.216777777777778,18.556277777777776,Historical
WV,Mid,748.8570558,40.74084,-123.00364,43.45630555555555,36.46058250000005,84.57194444444444,3.9687777777777775,18.863833333333332,Historical
YO11,High,2872.295032,37.93844,-119.23157,54.30802777777778,203.3778205555556,66.90044444444445,-4.6907499999999995,9.688777777777778,Historical
YO4,High,2157.57391,37.76378,-119.77244,53.041694444444445,151.20793611111117,95.03513777777778,1.0690833333333332,13.626805555555556,Historical
YO7,High,2469.978665,37.80903,-119.56605,50.25652777777778,268.44561916666663,101.56099916666668,-1.9498055555555556,11.656777777777778,Historical
YO8,High,2590.97836,37.81117,-119.48624,64.68633333333334,283.3625369444444,100.7149438888889,-2.6465,11.273833333333332,Historical
