parent.pop,elevation.group,elev_m,ppt_dist,cwd_dist,pck_dist,tmn_dist,tmx_dist,ann_tmean_dist,mean_diurnal_range_dist,temp_seasonality_dist,temp_ann_range_dist,tmean_wettest_month_dist,tmean_driest_month_dist,ann_ppt_dist,ppt_seasonality_dist,ppt_warmest_month_dist,ppt_coldest_month_dist
SC,Low,421.5178299,51.86933333333333,-36.23475,6.648666666666667,-3.365666666666666,-1.115874999999999,-2.240770833333336,2.249791666666667,-1.6400311552761568,-0.8469999999999978,7.2558333333333325,2.5452499999999993,481.2613333333333,-71.02733597621275,2.405333333333334,69.05433333333332
SQ1,Mid,1921.036585,20.196904285714282,4.5165714285714245,-7.916476190476202,-3.7278095238095235,-2.1450952380952373,-2.9364523809523817,1.582714285714287,-0.3091061072367367,-1.144999999999996,1.9446666666666665,-1.4771666666666654,174.53166333333337,-31.389076929442865,2.2299999999999995,44.68432999999999
SQ2,Mid,1934.45122,21.981380952380952,-18.682666666666663,-8.046333333333319,-3.669666666666666,-2.175809523809523,-2.9227380952380955,1.4938571428571432,-0.41451397440578486,-1.4153333333333329,2.0276666666666667,-1.388166666666665,187.02299999999997,-30.746466226381983,2.9416666666666655,51.05599999999998
SQ3,High,2373.170732,35.40888833333334,-12.07738888888889,-24.532611111111095,-5.779388888888889,-4.871722222222223,-5.325555555555557,0.9076666666666657,-0.16430226091317124,-2.219333333333335,0.1759999999999997,-3.417,212.45333,-39.03441722554979,3.643,70.59666333333334
TM2,Low,379.1526973,92.75570791666667,-49.958958333333335,6.039916666666668,-2.758,-1.3832916666666684,-2.0706458333333337,1.3747083333333325,-1.4993301150018716,-1.7399999999999984,6.9645,2.9556666666666658,808.3523299999999,-67.08917739522072,9.056333333333335,194.26099666666664
WL1,Mid,1613.837245,38.24466619047618,-16.34252380952381,-10.900523809523815,-3.1574285714285715,0.06838095238095221,-1.5445238095238096,3.225809523809522,-0.07167908585079541,0.8790000000000013,3.636,2.5058055555555576,300.86599666666666,-38.404695771927535,-1.5700000000000003,92.40832999999998
WL2,High,2020.115818,43.2454280952381,-21.975095238095236,-29.00280857142857,-4.816571428571429,-2.7275238095238095,-3.772047619047621,2.0890476190476175,-0.17913491488545574,-0.28066666666666507,0.9658333333333329,-0.7504999999999988,335.87133,-44.542742334163094,3.644333333333331,102.01933
WR,Mid,1158,56.152706666666674,-31.143749999999997,-4.0775416666666535,-1.132041666666666,1.9436250000000044,0.4057916666666639,3.0756666666666668,-0.3668200954954566,0.8360000000000021,5.082999999999999,4.834916666666668,515.5283199999999,-27.177011245659344,-2.4703333333333335,196.55765666666667
WV,Mid,748.8570558,28.891,-23.402874999999995,-2.7624583333333392,-2.6372083333333327,2.5917083333333295,-0.022749999999998494,5.228916666666665,0.24088529264820657,3.8190000000000026,3.9026666666666667,3.901833333333336,297.43466666666666,-32.36719885513148,1.3913333333333329,87.80166666666662
YO11,High,2872.295032,8.964599999999997,-9.476399999999998,-9.152066666666666,-9.070599999999999,-5.246533333333334,-7.158566666666667,3.824066666666667,-0.9817412317873959,-1.9826666666666597,-0.29000000000000026,-7.352499999999999,11.669666666666615,-56.025381323942256,12.631666666666668,-28.019666666666694
YO4,High,2157.57391,31.055237619047617,-19.32185714285714,-21.90080904761907,-4.786999999999999,-2.9877619047619035,-3.887380952380953,1.7992380952380955,-0.24070283823726424,-0.5629999999999988,1.193833333333333,-0.9494166666666679,250.53999666666664,-38.007990978365356,0.6936666666666662,67.00233
YO7,High,2469.978665,22.096599999999995,-13.444533333333325,-9.699533333333338,-6.2904,-3.3681333333333328,-4.829266666666667,2.9222666666666672,-1.046365929813768,-2.719999999999999,1.2229999999999999,-3.592083333333333,77.32966666666664,-39.8920875555382,6.96,24.538666666666614
YO8,High,2590.97836,21.735933333333328,5.062200000000004,-11.059866666666661,-6.9802,-3.758733333333332,-5.369466666666668,3.2214666666666663,-1.0383893387879066,-2.415999999999997,0.6678333333333328,-4.363833333333332,75.5263333333333,-41.01459360409295,7.377,22.466333333333324
