parent.pop,elevation.group,elev_m,ppt_dist,cwd_dist,tmn_dist,tmx_dist,ann_tmean_dist,mean_diurnal_range_dist,temp_seasonality_dist,temp_ann_range_dist,tmean_wettest_month_dist,tmean_driest_month_dist,ann_ppt_dist,ppt_seasonality_dist,ppt_warmest_month_dist,ppt_coldest_month_dist
SC,Low,421.5178299,6.532666666666657,-24.55975,-1.5795555555555554,-1.3569861111111088,-1.4682708333333352,0.2225694444444457,-0.8766360821826034,-2.7369999999999983,-0.3141666666666669,-5.499749999999999,-26.228666666666754,-30.108957717018072,8.025333333333334,-44.39566666666667
SQ1,Mid,1921.036585,-25.13976238095239,16.19157142857142,-1.941698412698413,-2.386206349206347,-2.163952380952381,-0.4445079365079341,0.4542889658568168,-3.0349999999999966,-5.625333333333333,-9.522166666666664,-332.9583366666667,9.529301329751817,7.85,-68.76567
SQ2,Mid,1934.45122,-23.35528571428572,-7.007666666666665,-1.8835555555555556,-2.4169206349206327,-2.1502380952380946,-0.5333650793650779,0.3488810986877686,-3.3053333333333335,-5.542333333333333,-9.433166666666663,-320.4670000000001,10.171912032812699,8.561666666666666,-62.394000000000005
SQ3,High,2373.170732,-9.927778333333336,-0.40238888888889335,-3.9932777777777777,-5.112833333333333,-4.553055555555556,-1.1195555555555554,0.5990928121803822,-4.1093333333333355,-7.394,-11.461999999999998,-295.0366700000001,1.8839610336448942,9.263,-42.85333666666665
TM2,Low,379.1526973,47.41904124999999,-38.28395833333334,-0.9718888888888895,-1.624402777777778,-1.2981458333333329,-0.6525138888888886,-0.7359350419083182,-3.629999999999999,-0.6054999999999993,-5.089333333333332,300.86232999999993,-26.170799136026034,14.676333333333334,80.81099666666665
WL1,Mid,1613.837245,-7.092000476190492,-4.667523809523814,-1.371317460317461,-0.1727301587301575,-0.7720238095238088,1.1985873015873008,0.6917159872427581,-1.0109999999999992,-3.9339999999999993,-5.5391944444444405,-206.6240033333334,2.513682487267147,4.05,-21.04167000000001
WL2,High,2020.115818,-2.091238571428576,-10.300095238095238,-3.0304603174603177,-2.968634920634919,-2.99954761904762,0.06182539682539634,0.5842601582080977,-2.1706666666666656,-6.604166666666666,-8.795499999999997,-171.61867000000007,-3.624364074968412,9.264333333333331,-11.430669999999992
WR,Mid,1158,10.816040000000001,-19.46875,0.6540694444444446,1.7025138888888947,1.1782916666666647,1.0484444444444456,0.3965749775980969,-1.0539999999999985,-2.487,-3.21008333333333,8.038319999999885,13.741367013535339,3.1496666666666666,83.10765666666668
WV,Mid,748.8570558,-16.445666666666675,-11.727874999999997,-0.8510972222222222,2.35059722222222,0.7497500000000024,3.2016944444444437,1.00428036574176,1.929000000000002,-3.6673333333333327,-4.143166666666662,-210.0553333333334,8.551179404063205,7.011333333333333,-25.64833333333337
YO11,High,2872.295032,-36.372066666666676,2.198599999999999,-7.284488888888889,-5.487644444444443,-6.386066666666666,1.7968444444444458,-0.21834615869384244,-3.8726666666666603,-7.859999999999999,-15.397499999999997,-495.82033333333345,-15.107003064747573,18.25166666666667,-141.46966666666668
YO4,High,2157.57391,-14.281429047619056,-7.646857142857144,-3.000888888888889,-3.2288730158730132,-3.114880952380952,-0.22798412698412562,0.5226922348562892,-2.4529999999999994,-6.376166666666666,-8.994416666666666,-256.9500033333334,2.910387280829326,6.313666666666666,-46.44766999999999
YO7,High,2469.978665,-23.240066666666678,-1.769533333333328,-4.504288888888889,-3.6092444444444425,-4.056766666666666,0.8950444444444461,-0.2829708567202145,-4.609999999999999,-6.3469999999999995,-11.637083333333331,-430.1603333333334,1.0262907036564854,12.58,-88.91133333333337
YO8,High,2590.97836,-23.600733333333345,16.7372,-5.194088888888889,-3.9998444444444416,-4.596966666666667,1.194244444444445,-0.27499426569435315,-4.305999999999997,-6.902166666666666,-12.40883333333333,-431.96366666666677,-0.096215344898269,12.997,-90.98366666666666
